FIPSSTCO,ct00,STFID,HH_16,TotalPop16,Emp_16,Cons_16,Manu_16,TCU_16,Whol_16,Retail_16,FIRE_16,Serv_16,Govt_16,HH_20,TotalPop20,Emp_20,Cons_20,Manu_20,TCU_20,Whol_20,Retail_20,FIRE_20,Serv_20,Govt_20,HH_24,TotalPop24,Emp_24,Cons_24,Manu_24,TCU_24,Whol_24,Retail_24,FIRE_24,Serv_24,Govt_24,HH_25,TotalPop25,Emp_25,Cons_25,Manu_25,TCU_25,Whol_25,Retail_25,FIRE_25,Serv_25,Govt_25,HH_30,TotalPop30,Emp_30,Cons_30,Manu_30,TCU_30,Whol_30,Retail_30,FIRE_30,Serv_30,Govt_30,HH_40,TotalPop40,Emp_40,Cons_40,Manu_40,TCU_40,Whol_40,Retail_40,FIRE_40,Serv_40,Govt_40,GlobalID,last_edite,Shape_Leng,Shape_Area
13057,906.02,13057090602,4200,11706,7348,118,698,162,238,1637,248,2868,1379,4905,13545,8524,143,699,163,236,1697,284,3157,2145,5628,15435,9491,156,703,165,227,1741,311,3413,2775,5809,15916,9729,159,706,165,224,1753,318,3478,2926,6677,18254,11075,172,736,164,212,1837,354,3842,3758,8063,21909,13926,204,844,165,183,2065,434,4627,5404,,,94557.5286389978,393071064.910377
13057,907.01,13057090701,7372,18257,3251,178,47,37,22,745,427,1791,4,7867,19313,3693,210,47,39,22,811,513,2044,7,8423,20534,4048,227,49,41,22,859,581,2257,12,8554,20816,4141,230,50,41,22,874,600,2311,13,9199,22256,4668,248,62,42,22,969,703,2606,16,10583,25346,5820,289,104,47,22,1210,928,3196,24,,,117171.472721301,429178522.858342
13057,907.02,13057090702,3236,8910,2866,302,1062,61,312,221,85,758,65,3701,10109,3079,330,1064,64,310,237,103,879,92,4117,11193,3256,346,1068,69,301,251,119,987,115,4215,11449,3299,349,1071,69,298,253,124,1014,121,4697,12714,3557,365,1110,71,286,276,143,1156,150,5311,14276,4161,402,1249,80,257,344,188,1434,207,,,55987.4824303798,171909944.659552
13057,908.01,13057090801,6535,19150,2355,170,3,15,38,537,110,1439,43,7297,21280,2656,190,3,15,38,579,127,1643,61,7819,22718,2904,201,3,15,38,611,144,1815,77,7944,23065,2969,203,3,15,38,619,148,1862,81,8541,24756,3324,213,3,15,38,675,165,2117,98,9863,28429,4039,237,3,15,38,816,207,2588,135,,,140290.838347473,553308330.163909
13057,908.02,13057090802,2962,8308,1450,169,2,7,29,408,165,664,6,3458,9679,1755,215,2,7,29,436,201,855,10,3804,10640,1992,237,2,7,29,456,234,1012,15,3889,10865,2053,241,2,7,29,462,243,1053,16,4289,11959,2405,271,2,6,29,503,289,1285,20,5382,14933,3149,331,2,5,29,610,392,1752,28,,,104028.418109112,484847006.270604
13057,909.01,13057090901,3159,8681,1422,278,17,20,41,214,126,700,26,3667,9979,1786,394,17,27,41,268,158,845,36,4128,11160,2057,459,17,32,41,307,183,972,46,4235,11425,2119,470,17,33,41,319,189,1002,48,4766,12767,2496,551,17,41,41,394,225,1169,58,6048,15952,3269,722,18,57,41,579,299,1473,80,,,93055.840766924,243077081.36544
13057,909.02,13057090902,7041,17982,3256,354,3,39,17,758,810,1250,25,7624,19343,4102,479,3,43,17,869,998,1665,28,8056,20298,4719,547,3,45,17,942,1131,2002,32,8161,20525,4886,560,3,46,17,967,1169,2091,33,8662,21644,5830,647,3,50,17,1122,1385,2571,35,9840,24158,7757,830,3,58,17,1511,1826,3471,41,,,63975.4353622731,204323509.777259
13057,909.03,13057090903,4856,12926,2374,172,41,65,161,440,148,1320,27,5373,14213,2765,190,41,65,161,471,169,1543,125,5794,15172,3098,200,42,63,154,497,188,1746,208,5885,15367,3176,201,42,62,153,503,192,1795,228,6337,16389,3641,210,44,60,145,548,217,2083,334,7207,18221,4659,231,50,57,125,665,269,2717,545,,,66666.3463359698,176341792.749458
13057,910.01,13057091001,1841,4568,5182,226,574,171,178,1181,519,2055,278,2104,5183,5763,257,577,173,178,1235,584,2369,390,2418,5900,6206,273,580,170,172,1273,629,2627,482,2489,6048,6323,276,587,169,170,1284,641,2691,505,2837,6805,7046,294,655,171,162,1361,709,3068,626,3345,7876,8654,335,889,173,142,1565,851,3834,865,,,56994.5382240047,98181464.2787081
13057,910.03,13057091003,2607,7527,5418,218,124,41,164,2536,509,1809,17,2995,8601,6371,270,125,46,164,2862,621,2255,28,3283,9402,7063,295,127,47,158,3089,707,2602,38,3354,9597,7258,301,130,47,156,3162,734,2688,40,3674,10493,8485,335,164,51,148,3675,874,3187,51,4118,11606,11419,403,279,59,128,5201,1167,4108,74,,,57476.6488305604,105338167.039342
13057,910.04,13057091004,5302,15112,2888,124,10,121,104,910,179,1440,0,5591,15798,3048,129,10,122,104,933,194,1556,0,5845,16400,3193,133,10,124,101,951,210,1662,2,5901,16521,3226,133,10,124,100,956,212,1689,2,6180,17164,3432,135,10,124,96,989,230,1846,2,7058,19319,3934,141,11,126,86,1073,269,2225,3,,,75490.5563991684,224165565.750403
13057,910.05,13057091005,3199,8478,1920,70,0,59,76,621,239,855,0,3363,8854,2031,73,0,61,76,640,263,918,0,3505,9161,2122,75,0,63,73,655,279,976,1,3540,9236,2145,76,0,64,72,658,284,990,1,3705,9603,2273,78,0,66,68,683,310,1067,1,4021,10269,2566,83,0,71,58,750,364,1239,1,,,42429.5547892589,78914208.0214295
13057,910.06,13057091006,1799,5307,1498,7,0,38,55,468,77,853,0,1943,5680,1529,8,0,38,55,472,80,876,0,2065,5988,1554,8,0,39,52,475,83,896,1,2095,6064,1558,8,0,39,51,475,83,901,1,2233,6414,1592,8,0,39,47,482,86,929,1,2365,6689,1667,8,0,40,37,496,93,992,1,,,30598.6247398333,44040775.9784172
13057,911.01,13057091101,2651,7409,498,39,5,30,5,84,17,318,0,2912,8116,553,42,5,32,5,92,20,357,0,3336,9251,606,44,5,34,5,100,24,393,1,3441,9530,617,44,5,35,5,101,24,402,1,3952,10904,680,45,5,37,5,113,26,448,1,5000,13678,821,48,5,42,5,147,30,543,1,,,76749.4474722149,201139369.093949
13057,911.02,13057091102,3561,9971,1225,151,2,24,8,167,266,607,0,3921,10879,1545,218,2,33,8,187,330,765,2,4308,11862,1794,251,2,39,8,205,382,902,5,4401,12106,1853,259,2,40,8,208,396,935,5,4849,13297,2204,301,2,47,8,238,477,1124,7,5515,14974,2973,388,2,66,8,325,655,1518,11,,,53896.7253193473,115683050.158837
13057,911.03,13057091103,3761,10906,2518,556,30,57,4,612,371,865,23,4528,13021,3322,768,31,74,4,747,474,1189,35,5061,14459,3882,884,32,86,4,834,547,1449,46,5192,14810,4023,904,34,90,4,860,567,1516,48,5827,16542,4864,1048,50,111,4,1029,684,1878,60,7196,20138,6600,1348,110,153,4,1426,922,2552,85,,,79336.0929049922,303845106.677075
13063,401,13063040100,3,20,37174,247,0,27378,124,4223,1624,3261,317,3,20,39335,258,0,28757,124,4407,1782,3613,394,3,20,40984,263,0,29801,118,4554,1914,3876,458,3,20,41437,265,0,30099,116,4594,1951,3938,474,3,20,44201,271,0,31967,108,4864,2158,4277,556,3,20,49379,285,0,35422,88,5451,2609,4803,721,,,59417.9227124124,159341641.785804
13063,402.01,13063040201,3675,8632,3343,11,0,827,91,281,364,1769,0,3711,8665,3351,11,0,828,91,281,365,1775,0,3729,8624,3356,11,0,828,88,282,365,1782,0,3732,8620,3356,11,0,828,87,282,365,1783,0,3746,8593,3357,11,0,828,83,282,365,1788,0,3766,8497,3363,11,0,829,73,282,365,1803,0,,,33707.6433449848,62255619.8468465
13063,402.02,13063040202,1356,3930,4724,441,365,1760,562,283,148,1084,81,1408,4044,4854,450,365,1804,558,289,155,1144,89,1428,4074,4945,456,366,1834,542,295,162,1193,97,1430,4076,4968,457,366,1844,538,297,163,1204,99,1441,4097,5102,462,368,1903,518,308,170,1266,107,1456,4096,5354,474,377,2011,470,335,188,1375,124,,,60736.3016578155,106190389.087146
13063,403.01,13063040301,54,339,9394,147,727,3974,1900,201,387,735,1323,111,537,10051,157,727,4128,1878,202,428,786,1745,131,598,10533,162,729,4239,1828,204,454,826,2091,137,618,10654,163,729,4272,1815,204,461,836,2174,162,700,11355,169,731,4472,1758,205,503,884,2633,167,709,12629,182,744,4837,1553,209,585,973,3546,,,34757.8874775854,57949011.7527924
13063,403.02,13063040302,2231,6742,2601,29,103,1328,274,329,45,493,0,2483,7451,2785,32,104,1413,272,346,52,566,0,2557,7595,2918,34,105,1473,262,358,58,627,1,2574,7636,2957,34,105,1492,260,362,60,643,1,2651,7833,3177,35,110,1605,248,387,69,722,1,2797,8118,3613,39,129,1810,219,450,88,876,2,,,34293.7980003841,61637296.4129492
13063,403.03,13063040303,2684,8085,1537,9,36,103,17,548,101,723,0,2731,8132,1561,9,36,103,17,551,104,741,0,2773,8165,1591,9,37,103,17,554,108,762,1,2782,8174,1596,9,37,103,17,554,109,766,1,2813,8213,1625,9,37,103,17,555,112,791,1,2944,8441,1701,9,38,103,17,562,120,851,1,,,45912.5063236199,62210661.0239645
13063,403.04,13063040304,1763,5170,2322,287,341,639,143,141,95,675,1,1767,5154,2494,308,341,671,143,146,111,760,14,1830,5269,2626,319,342,693,140,150,123,834,25,1844,5298,2663,322,343,700,139,151,126,854,28,1907,5441,2878,335,357,743,135,160,145,962,41,1972,5492,3357,363,405,821,125,182,185,1208,68,,,29897.0874472098,42577454.316826
13063,403.05,13063040305,3009,9101,4877,17,212,2909,560,359,128,692,0,3048,9147,5020,19,212,2983,571,364,133,738,0,3072,9134,5104,19,213,3035,549,369,139,780,0,3077,9131,5125,19,213,3051,543,370,140,789,0,3088,9107,5263,19,218,3149,517,378,145,837,0,3233,9362,5548,19,233,3326,468,403,159,940,0,,,46613.8402880579,80463855.4183424
13063,404.05,13063040405,3252,8679,2267,46,93,15,11,934,95,1067,6,3320,8787,2353,48,93,15,11,959,100,1121,6,3409,8971,2433,49,94,16,11,979,104,1174,6,3425,8993,2449,49,94,16,11,983,105,1185,6,3493,9104,2546,49,94,16,11,1014,108,1248,6,3647,9340,2792,51,95,16,11,1092,117,1404,6,,,49075.9799475137,64520290.9981851
13063,404.06,13063040406,3508,10632,5661,174,897,122,404,2734,192,1138,0,3684,11104,5690,176,897,123,400,2741,196,1157,0,3787,11314,5719,178,898,124,388,2749,200,1181,1,3809,11365,5723,178,898,124,385,2750,201,1186,1,3913,11617,5745,179,902,124,369,2760,205,1205,1,4075,11931,5818,182,918,126,330,2789,216,1256,1,,,42984.2278768844,95982698.1147314
