GEOID10,NAME10,PLNG_REGIO,created_us,created_da,last_edite,last_edit2,Percent_BA,Median_hou,Population,Less_than_,Percent_Le,BA_or_High,GlobalID,Pop_Change,Shape_Leng,Shape_Area
13247060406,604.06,ARC 10,,,SDE,2015/05/19 15:53:46,34,71833,3739,302,8.1,1270,,41.4,50619.1829553302,117616271.625449
13247060305,603.05,ARC 10,,,SDE,2015/05/19 15:53:46,14.4,37067,3123,494,15.8,449,,138.2,75657.493478512,181880026.882896
13247060309,603.09,ARC 10,,,SDE,2015/05/19 15:53:46,18.3,43438,3433,690,20.1,628,,323.4,44436.0818355179,90494498.7365635
13247060308,603.08,ARC 10,,,SDE,2015/05/19 15:53:46,16.7,43182,5166,1216,23.5,863,,858.7,45042.8958153065,87228462.2578368
13247060405,604.05,ARC 10,,,SDE,2015/05/19 15:53:46,35.7,65704,4555,295,6.5,1625,,90.6,126389.904417787,497213387.013526
13247060307,603.07,ARC 10,,,SDE,2015/05/19 15:53:46,39.7,70478,6753,683,10.1,2681,,483.7,59382.5848842219,158878121.597283
13247060102,601.02,ARC 10,,,SDE,2015/05/19 15:53:46,20.1,44469,3518,381,10.8,706,,35.7,154592.268281392,757490819.979178
13067030330,303.30,ARC 10,,,SDE,2015/05/19 15:53:46,57,91825,3646,100,2.7,2078,,139.1,43758.1035143326,65231395.8161678
13067030328,303.28,ARC 10,,,SDE,2015/05/19 15:53:46,58.3,102594,4599,131,2.8,2682,,-113.8,48852.9180690557,72659643.8199884
13067030700,307,ARC 10,,,SDE,2015/05/19 15:53:46,25.5,38140,2690,741,27.5,686,,-708.2,30163.6183086322,46354789.2641586
13067030324,303.24,ARC 10,,,SDE,2015/05/19 15:53:46,38.9,78363,2354,143,6.1,916,,-220.7,33140.9497844806,39862481.1508424
13067030312,303.12,ARC 10,,,SDE,2015/05/19 15:53:46,47.6,68452,4468,229,5.1,2125,,-80.3,42822.4289738005,93626844.6133491
13067030228,302.28,ARC 10,,,SDE,2015/05/19 15:53:46,43.6,45275,3830,309,8.1,1670,,27.8,45229.2219406261,104439450.360194
13067030231,302.31,ARC 10,,,SDE,2015/05/19 15:53:46,54.1,95714,5136,139,2.7,2777,,147,56438.3639455204,157030195.260729
13067030230,302.30,ARC 10,,,SDE,2015/05/19 15:53:46,45.8,64554,8681,554,6.4,3976,,1275.2,63611.383191106,169818845.483315
13067030311,303.11,ARC 10,,,SDE,2015/05/19 15:53:46,48.7,90809,4230,181,4.3,2062,,-90,44010.4978278588,92778307.9752697
13067031001,310.01,ARC 10,,,SDE,2015/05/19 15:53:46,5.7,30414,3079,1345,43.7,175,,-50.5,64595.0713931129,167844984.645337
13067030310,303.10,ARC 10,,,SDE,2015/05/19 15:53:46,36.2,68512,5003,392,7.8,1811,,86.8,44295.6155363853,94444472.3239413
13067030215,302.15,ARC 10,,,SDE,2015/05/19 15:53:46,39.8,73646,5691,316,5.6,2264,,364.3,36759.1054378185,77922022.7508394
13067030601,306.01,ARC 10,,,SDE,2015/05/19 15:53:46,53.4,48977,5181,202,3.9,2769,,1384.4,40551.6105968364,100962953.154958
13067030227,302.27,ARC 10,,,SDE,2015/05/19 15:53:46,29,58446,5022,443,8.8,1456,,87.9,45728.7798571052,93691290.4627745
13067030602,306.02,ARC 10,,,SDE,2015/05/19 15:53:46,53,61891,5359,226,4.2,2842,,61,60457.6418344694,172110856.146391
13067030506,305.06,ARC 10,,,SDE,2015/05/19 15:53:46,27.3,51922,2972,316,10.6,812,,267.1,42824.1436891578,86572915.9223227
13067030507,305.07,ARC 10,,,SDE,2015/05/19 15:53:46,39.7,61017,3447,220,6.4,1369,,51.3,33484.4416557206,66670260.8012753
13067030229,302.29,ARC 10,,,SDE,2015/05/19 15:53:46,31.4,51905,1916,139,7.3,602,,409.8,61878.7114237853,141068727.230026
13067031208,312.08,ARC 10,,,SDE,2015/05/19 15:53:46,69.8,63125,4463,68,1.5,3113,,960.7,27257.5493357799,39191090.9423985
13067031207,312.07,ARC 10,,,SDE,2015/05/19 15:53:46,77.5,52945,2441,20,0.8,1892,,176.4,23168.6833379411,30510009.2089459
13067030226,302.26,ARC 10,,,SDE,2015/05/19 15:53:46,37.5,70357,5278,212,4,1979,,1151.9,44522.9117914656,75403960.7423234
13067031505,315.05,ARC 10,,,SDE,2015/05/19 15:53:46,37.3,62903,3517,349,9.9,1313,,-27.4,47744.1161355603,108434957.044144
13067030313,303.13,ARC 10,,,SDE,2015/05/19 15:53:46,42.6,77872,5194,232,4.5,2212,,201.1,45002.3203936996,102994725.700989
13067031310,313.10,ARC 10,,,SDE,2015/05/19 15:53:46,14.3,27802,3763,897,23.8,537,,244.1,55188.4179384951,127674502.129991
13067030214,302.14,ARC 10,,,SDE,2015/05/19 15:53:46,36.7,74347,5254,335,6.4,1928,,299,45818.1785981104,114812746.750962
13067031212,312.12,ARC 10,,,SDE,2015/05/19 15:53:46,75.9,125000,1783,22,1.2,1353,,-71.3,33162.9074745281,45134948.8770879
13067031211,312.11,ARC 10,,,SDE,2015/05/19 15:53:46,54.4,53891,2752,232,8.4,1496,,-73.3,18498.6026501853,16233232.6711816
13067031209,312.09,ARC 10,,,SDE,2015/05/19 15:53:46,64.4,120987,2996,94,3.1,1930,,600.8,33040.3175424092,36737430.9944492
13067030224,302.24,ARC 10,,,SDE,2015/05/19 15:53:46,46.4,69803,4265,173,4.1,1977,,1697.2,33770.7924276771,49354989.0913128
13067031205,312.05,ARC 10,,,SDE,2015/05/19 15:53:46,75.3,83000,4167,105,2.5,3139,,688.6,44599.3868085425,81457915.3898151
13067031206,312.06,ARC 10,,,SDE,2015/05/19 15:53:46,54.4,78214,6952,586,8.4,3784,,1112.2,53844.2144909831,99056203.1037678
13067030220,302.20,ARC 10,,,SDE,2015/05/19 15:53:46,32.5,63523,1217,83,6.8,395,,-44.3,18010.0336028912,19589927.3263991
13067030905,309.05,ARC 10,,,SDE,2015/05/19 15:53:46,19.6,52669,5198,1090,21,1018,,398.3,39512.9144939895,65923560.7113591
13067030502,305.02,ARC 10,,,SDE,2015/05/19 15:53:46,47.8,83229,4725,298,6.3,2260,,114.1,56219.2490839253,103724228.286331
13067030209,302.09,ARC 10,,,SDE,2015/05/19 15:53:46,49.9,82328,4473,133,3,2233,,253.6,53260.5009613998,147416983.713557
13067030326,303.26,ARC 10,,,SDE,2015/05/19 15:53:46,61.3,122371,2988,58,1.9,1832,,-70.4,40231.8515338404,77266837.5573944
13067031108,311.08,ARC 10,,,SDE,2015/05/19 15:53:46,37.7,35563,3669,312,8.5,1382,,-380.8,33949.777588628,36146122.7996416
13117130105,1301.05,ARC 20,,,SDE,2015/05/19 15:53:46,16.4,38306,1386,384,27.7,227,,106.5,53020.8312592926,112630086.014715
13117130205,1302.05,ARC 20,,,SDE,2015/05/19 15:53:46,25.1,65795,1213,91,7.5,304,,113.9,75927.9270660977,183067196.47579
13117130603,1306.03,ARC 20,,,SDE,2015/05/19 15:53:46,62.6,118902,2431,199,8.2,1521,,391.4,60109.8921319631,165603885.257405
13117130610,1306.10,ARC 20,,,SDE,2015/05/19 15:53:46,67.3,120685,2649,39,1.5,1783,,125.9,68274.72175174,114164451.25977
13117130606,1306.06,ARC 20,,,SDE,2015/05/19 15:53:46,63.5,116714,2882,66,2.3,1830,,263.5,28595.1102488079,48306565.4110099
13117130604,1306.04,ARC 20,,,SDE,2015/05/19 15:53:46,60.2,126058,3295,109,3.3,1985,,693.6,36155.0852752645,68423357.2796995
13117130611,1306.11,ARC 20,,,SDE,2015/05/19 15:53:46,47.7,127304,2332,20,0.9,1113,,633.3,37202.3527975002,68241117.3060455
13117130609,1306.09,ARC 20,,,SDE,2015/05/19 15:53:46,75.1,125688,2526,121,4.8,1898,,1147.7,42661.1614108177,73582954.2766652
13117130607,1306.07,ARC 20,,,SDE,2015/05/19 15:53:46,59.7,120000,3043,204,6.7,1817,,1206.3,45617.7331503472,83250218.2006014
13117130605,1306.05,ARC 20,,,SDE,2015/05/19 15:53:46,60.2,99028,2427,57,2.3,1461,,684.5,40006.7376568717,79445089.3283569
13117130602,1306.02,ARC 20,,,SDE,2015/05/19 15:53:46,52.4,83445,2781,305,11,1458,,810.9,33614.7336679446,60033597.5922582
13117130508,1305.08,ARC 20,,,SDE,2015/05/19 15:53:46,56.8,104912,3071,67,2.2,1744,,491.8,59197.0781770971,124087110.781706
13117130507,1305.07,ARC 20,,,SDE,2015/05/19 15:53:46,40.8,71765,1914,134,7,781,,80,56125.9374424185,106780504.3043
13117130409,1304.09,ARC 20,,,SDE,2015/05/19 15:53:46,25.6,60962,1483,197,13.3,379,,201.7,42702.6982969389,96185080.4791116
13067030218,302.18,ARC 10,,,SDE,2015/05/19 15:53:46,50.3,114718,3326,144,4.3,1673,,455.4,42221.6923164887,97689529.1066598
13067030219,302.19,ARC 10,,,SDE,2015/05/19 15:53:46,50.4,118279,5973,142,2.4,3012,,572.9,65359.4498797359,201533432.025285
13067030235,302.35,ARC 10,,,SDE,2015/05/19 15:53:46,47.8,98782,3096,170,5.5,1479,,120.8,51719.6228721265,134639670.112738
13067030234,302.34,ARC 10,,,SDE,2015/05/19 15:53:46,43.2,96625,3540,26,0.7,1528,,376.7,50882.6942692398,127457328.944207
13067030233,302.33,ARC 10,,,SDE,2015/05/19 15:53:46,49.4,97778,2732,70,2.6,1350,,-1.1,41330.9740842874,76583424.3030389
13067030337,303.37,ARC 10,,,SDE,2015/05/19 15:53:46,69.6,125556,3175,47,1.5,2211,,6.1,32493.1166883081,50349268.8164653
13067030334,303.34,ARC 10,,,SDE,2015/05/19 15:53:46,65.9,96214,2245,91,4.1,1480,,-140,26449.3252491689,42931952.6556997
13067031111,311.11,ARC 10,,,SDE,2015/05/19 15:53:46,60.4,78706,2573,86,3.3,1555,,-353.8,21134.3636109306,21043768.4623279
13067031110,311.10,ARC 10,,,SDE,2015/05/19 15:53:46,34,56472,2624,676,25.8,893,,-166,23728.1108772313,29102204.52051
13067030405,304.05,ARC 10,,,SDE,2015/05/19 15:53:46,29.6,39492,4293,409,9.5,1271,,-74,39763.073468319,43100761.575918
13067031101,311.01,ARC 10,,,SDE,2015/05/19 15:53:46,23.9,41907,2785,841,30.2,665,,34.6,25251.5754801316,35824011.2655969
13117130305,1303.05,ARC 20,,,SDE,2015/05/19 15:53:46,46.5,94188,2518,38,1.5,1172,,610.3,44442.5218224602,108481243.841716
13117130301,1303.01,ARC 20,,,SDE,2015/05/19 15:53:46,35.6,66842,3169,222,7,1128,,240.6,82798.5365592294,226107419.002201
13117130405,1304.05,ARC 20,,,SDE,2015/05/19 15:53:47,38.9,81048,2431,195,8,946,,542.1,52262.7181627207,107823013.168126
13117130504,1305.04,ARC 20,,,SDE,2015/05/19 15:53:47,32.3,66572,2337,174,7.4,756,,64.7,76991.4654984971,161592567.770838
13117130505,1305.05,ARC 20,,,SDE,2015/05/19 15:53:47,32.8,74000,2135,207,9.7,700,,74.6,71681.3266577093,236985906.543289
13117130503,1305.03,ARC 20,,,SDE,2015/05/19 15:53:47,43.4,82670,1737,120,6.9,754,,70.7,97748.9987853495,364549509.235899
13117130102,1301.02,ARC 20,,,SDE,2015/05/19 15:53:47,30,59929,1922,152,7.9,577,,207.4,72070.2559177304,148420986.477001
13117130103,1301.03,ARC 20,,,SDE,2015/05/19 15:53:47,17.2,53941,2299,411,17.9,395,,190.1,78112.4568659808,257620551.331946
13117130303,1303.03,ARC 20,,,SDE,2015/05/19 15:53:47,29.1,85750,2277,337,14.8,663,,111.4,70803.0976444922,197058872.316416
13117130201,1302.01,ARC 20,,,SDE,2015/05/19 15:53:47,34,82137,2683,32,1.2,912,,221.6,99795.9779828839,412151145.717026
13067030232,302.32,ARC 10,,,SDE,2015/05/19 15:53:47,44.2,89649,3648,252,6.9,1611,,231.8,40385.739460787,109670183.598386
13067030222,302.22,ARC 10,,,SDE,2015/05/19 15:53:47,48,73438,3554,247,6.9,1707,,-31.1,30049.7879177054,49214800.2826302
13067031118,311.18,ARC 10,,,SDE,2015/05/19 15:53:47,51.7,67149,4052,268,6.6,2096,,133,33574.114030287,54621562.2391426
13067031117,311.17,ARC 10,,,SDE,2015/05/19 15:53:47,60.6,110870,3514,92,2.6,2131,,-182.5,36903.2560442972,65937043.7370897
13067031507,315.07,ARC 10,,,SDE,2015/05/19 15:53:47,25.9,44830,1878,250,13.3,486,,-124.7,28395.6135157744,42414812.9708326
13067031004,310.04,ARC 10,,,SDE,2015/05/19 15:53:47,8.6,38137,4410,1432,32.5,381,,-449.4,29441.0236495568,44935095.6091719
13067030103,301.03,ARC 10,,,SDE,2015/05/19 15:53:47,38.5,71569,5831,512,8.8,2244,,498.9,60374.9915968184,173108183.664561
13067031404,314.04,ARC 10,,,SDE,2015/05/19 15:53:47,34.4,63426,3844,331,8.6,1322,,117.9,48451.8902407456,94829090.5015213
13067031306,313.06,ARC 10,,,SDE,2015/05/19 15:53:47,19.5,47992,2867,542,18.9,558,,107.7,38070.481695092,59941890.6981489
13067030101,301.01,ARC 10,,,SDE,2015/05/19 15:53:47,22,73603,5049,895,17.7,1111,,100.7,87446.9182805944,330938624.957892
13067030104,301.04,ARC 10,,,SDE,2015/05/19 15:53:47,27,51140,2350,231,9.8,635,,150.7,29060.9245688323,42711393.9464667
13117130613,1306.13,ARC 20,,,SDE,2015/05/19 15:53:47,49,95217,1934,97,5,947,,474.2,48899.0207854657,87743636.710641
13117130408,1304.08,ARC 20,,,SDE,2015/05/19 15:53:47,27.7,53333,2654,525,19.8,736,,320.7,37830.0511432735,73884274.0089371
13117130612,1306.12,ARC 20,,,SDE,2015/05/19 15:53:47,60.8,141802,3878,127,3.3,2359,,734.3,43016.9630509637,103515699.054415
13117130608,1306.08,ARC 20,,,SDE,2015/05/19 15:53:47,64.4,124531,3007,136,4.5,1936,,972.4,51992.4545189948,94570828.1989235
13117130307,1303.07,ARC 20,,,SDE,2015/05/19 15:53:47,36.3,85833,2303,296,12.9,835,,246,53579.7370895808,132924612.917863
13117130302,1303.02,ARC 20,,,SDE,2015/05/19 15:53:47,50.8,99464,3300,69,2.1,1676,,482.6,51060.5460993337,129034944.772519
13117130304,1303.04,ARC 20,,,SDE,2015/05/19 15:53:47,39.9,103438,2792,330,11.8,1113,,138.3,59897.5453232899,134773955.593994
13117130404,1304.04,ARC 20,,,SDE,2015/05/19 15:53:47,55.6,102384,2680,181,6.8,1490,,1065.2,44883.6793068178,70513190.5906674
13117130306,1303.06,ARC 20,,,SDE,2015/05/19 15:53:47,46.8,103947,2718,192,7.1,1273,,544.7,45891.7179948768,88312691.5789102
13117130601,1306.01,ARC 20,,,SDE,2015/05/19 15:53:47,55.5,85497,2283,153,6.7,1266,,281.9,74091.9381750082,185902250.851556
13117130510,1305.10,ARC 20,,,SDE,2015/05/19 15:53:47,38.8,99531,3978,308,7.7,1542,,473.7,76334.9309009739,197249787.372118
13117130406,1304.06,ARC 20,,,SDE,2015/05/19 15:53:47,43.3,70261,3415,465,13.6,1479,,1310,44242.7025906151,76531671.0519878
13117130410,1304.10,ARC 20,,,SDE,2015/05/19 15:53:47,32.9,46816,2599,309,11.9,856,,703.1,44965.9009774675,80056005.4659945
13117130203,1302.03,ARC 20,,,SDE,2015/05/19 15:53:47,20.1,74100,3352,349,10.4,673,,91.5,91969.7740685529,339718776.969776
13117130204,1302.04,ARC 20,,,SDE,2015/05/19 15:53:47,36.1,63125,2495,473,19,901,,470,66278.2010656485,186249928.919498
13117130202,1302.02,ARC 20,,,SDE,2015/05/19 15:53:47,48.3,94821,2371,95,4,1146,,402.2,63898.2212015362,167012078.113386
13117130509,1305.09,ARC 20,,,SDE,2015/05/19 15:53:47,38.6,66284,2152,245,11.4,831,,-2.4,54191.6848853789,105646015.233029
13117130403,1304.03,ARC 20,,,SDE,2015/05/19 15:53:47,25.7,68456,4183,927,22.2,1076,,154.5,110537.886515246,316236944.470642
13067031506,315.06,ARC 10,,,SDE,2015/05/19 15:53:47,25.3,53906,3236,596,18.4,819,,92.2,48752.3753554537,100337925.071495
13067031508,315.08,ARC 10,,,SDE,2015/05/19 15:53:47,37.6,70882,3102,96,3.1,1166,,257.7,54034.2380642849,132412987.128244
13067031116,311.16,ARC 10,,,SDE,2015/05/19 15:53:47,17,39228,2481,336,13.5,422,,-264.5,23807.2361145519,29481141.3977
13067031115,311.15,ARC 10,,,SDE,2015/05/19 15:53:47,44.9,57560,2644,269,10.2,1186,,425,35410.1931714363,39538018.1379704
13067030223,302.23,ARC 10,,,SDE,2015/05/19 15:53:47,42.5,65453,3776,233,6.2,1603,,661.2,37674.4689836817,48657744.3653029
13067031312,313.12,ARC 10,,,SDE,2015/05/19 15:53:47,44.7,61176,6119,1118,18.3,2737,,689.6,53847.9275432186,137810038.387735
13067031313,313.13,ARC 10,,,SDE,2015/05/19 15:53:47,70.9,107841,6704,299,4.5,4751,,975,59010.3320328172,168251461.432309
13067031309,313.09,ARC 10,,,SDE,2015/05/19 15:53:47,24,52714,4756,1001,21,1140,,307.1,45631.7289489905,85828914.3419131
13117130101,1301.01,ARC 20,,,SDE,2015/05/19 15:53:47,29.4,80040,2587,726,28.1,761,,148.6,84407.7991417087,281279156.195037
13117130104,1301.04,ARC 20,,,SDE,2015/05/19 15:53:47,34,71382,2759,101,3.7,937,,147.6,90421.6231667939,318957777.26129
13117130506,1305.06,ARC 20,,,SDE,2015/05/19 15:53:47,40.1,70313,2073,56,2.7,831,,309,76340.9158601574,114496455.48317
13067031509,315.09,ARC 10,,,SDE,2015/05/19 15:53:47,26.3,68125,5987,601,10,1577,,435.1,73336.7530055397,262632312.597705
13067031113,311.13,ARC 10,,,SDE,2015/05/19 15:53:47,33.6,29523,614,67,10.9,206,,-757.5,15328.7929380092,12050457.3529284
13067031114,311.14,ARC 10,,,SDE,2015/05/19 15:53:47,39.5,41880,4969,534,10.7,1962,,1146.4,25398.9460455544,30404190.2359547
13067030345,303.45,ARC 10,,,SDE,2015/05/19 15:53:47,56.5,50553,3356,370,11,1896,,491.8,31288.7059122369,46267772.6700168
13067030344,303.44,ARC 10,,,SDE,2015/05/19 15:53:47,42.5,43037,2353,67,2.8,1001,,-662.2,22539.1411433758,25146360.232426
13067030411,304.11,ARC 10,,,SDE,2015/05/19 15:53:47,16.6,27417,1834,398,21.7,304,,-593.8,32120.0519438332,21530700.3528156
13067030412,304.12,ARC 10,,,SDE,2015/05/19 15:53:47,28.7,37917,2380,440,18.5,682,,-1303.8,22416.1044360612,21588686.2542701
13067030414,304.14,ARC 10,,,SDE,2015/05/19 15:53:47,18.1,27681,1634,258,15.8,296,,-659,22675.5114198547,26649597.7144664
13067030413,304.13,ARC 10,,,SDE,2015/05/19 15:53:47,32.2,34180,3189,391,12.3,1027,,-1313.3,16326.5105265938,15515860.4260629
13067030239,302.39,ARC 10,,,SDE,2015/05/19 15:53:47,51.8,107622,5220,293,5.6,2702,,228.4,61679.1208298761,210274687.091343
13067030238,302.38,ARC 10,,,SDE,2015/05/19 15:53:47,48.9,101607,4265,263,6.2,2086,,350.9,50030.2906944046,119070178.364877
13067030236,302.36,ARC 10,,,SDE,2015/05/19 15:53:47,59,130867,2612,19,0.7,1542,,370.5,35263.7661123808,57497990.3462216
13067030407,304.07,ARC 10,,,SDE,2015/05/19 15:53:47,60.7,67138,3294,156,4.7,2001,,-70.6,32579.1377725002,46529465.4969016
13067030408,304.08,ARC 10,,,SDE,2015/05/19 15:53:47,59.8,65682,2199,126,5.7,1315,,7.8,22592.698426212,25592627.1833773
13067030410,304.10,ARC 10,,,SDE,2015/05/19 15:53:47,46.8,43352,3235,119,3.7,1513,,-34.1,31912.6859731288,46317689.8446933
13067030409,304.09,ARC 10,,,SDE,2015/05/19 15:53:47,61.1,110494,2422,86,3.6,1480,,198.6,28677.1623329257,39510854.9619552
13067030343,303.43,ARC 10,,,SDE,2015/05/19 15:53:47,64.4,114712,3156,76,2.4,2031,,71.7,37082.7996146609,49683537.361894
13067030342,303.42,ARC 10,,,SDE,2015/05/19 15:53:47,61.9,113075,3308,71,2.1,2048,,62.1,36039.7543742388,51683811.419102
13067030340,303.40,ARC 10,,,SDE,2015/05/19 15:53:47,66.5,130263,2541,58,2.3,1689,,-179.4,27067.8343692281,46266043.3791279
13067030341,303.41,ARC 10,,,SDE,2015/05/19 15:53:47,51.7,95469,3032,36,1.2,1568,,30.6,37205.3723209069,50058678.2992049
13067031409,314.09,ARC 10,,,SDE,2015/05/19 15:53:47,20.6,46234,3542,231,6.5,729,,14,51767.6582017755,152033033.626183
13067031408,314.08,ARC 10,,,SDE,2015/05/19 15:53:47,20.5,44708,4047,731,18.1,828,,211.3,70457.46048608,149933192.720451
13067030107,301.07,ARC 10,,,SDE,2015/05/19 15:53:47,43,77780,3083,265,8.6,1325,,725.6,44088.4755314558,44040101.4914974
13067030106,301.06,ARC 10,,,SDE,2015/05/19 15:53:47,21.1,44878,4251,645,15.2,897,,1167.9,27586.8870454651,39230255.4361575
13067030505,305.05,ARC 10,,,SDE,2015/05/19 15:53:47,29.4,34185,4134,540,13.1,1214,,395.5,33004.2113947541,56864207.8138271
