TRACTCE10,GEOID10,NAME10,PLNG_REGIO,created_us,created_da,last_edite,last_edit2,Population,Populatio2,White__201,Black__201,Asian_Paci,Hispanic__,All_Non_Wh,Percent__W,Percent__B,Percent_NW,White__200,Black__200,Asian_Pac2,Hispanic_2,All_Non_W2,Percent__2,Percent__3,Percent_N2,Change_in_,Change_in2,Change_in3,GlobalID,Pop_Chng_p,OthrRaces_,Pct_Asian_,Pct_OthrRa,Pct_Hispan,OthrRaces2,Pct_Asian2,Pct_OthrR2,Pct_Hispa2,Chg_Asian_,Chg_Othr_i,Chng_Pct_W,Chng_Pct_B,ChngPct_As,ChngPct_Ot,Chng_Pct_H,Chng_MajWh,Shape_Leng,Shape_Area
910701,13045910701,9107.01,ARC 20,,,SDE,2015/05/27 16:20:53,9171,6221,6273,1907,101,661,2898,68.4,20.8,31.6,4835,1138,62,114,1386,77.7,18.3,22.3,1438,769,547,,116.1,229,1.1,2.5,1.8,72,1,1.2,1.8,39,157,-9.3,2.5,0.1,1.3,5.4,0,150756.970468562,707225757.490576
910703,13045910703,9107.03,ARC 20,,,SDE,2015/05/27 16:20:53,7972,7021,5190,2021,63,521,2782,65.1,25.4,34.9,5100,1594,105,112,1921,72.6,22.7,27.4,90,427,409,,68.9,177,0.8,2.2,1.6,110,1.5,1.6,1.6,-42,67,-7.5,2.7,-0.7,0.6,4.9,0,107808.869512959,385587810.753281
910600,13045910600,9106,ARC 20,,,SDE,2015/05/27 16:20:53,5568,4680,3632,1301,38,442,1936,65.2,23.4,34.8,3477,1045,30,62,1203,74.3,22.3,25.7,155,256,380,,70.5,155,0.7,2.8,1.3,66,0.6,1.4,1.3,8,89,-9.1,1.1,0.1,1.4,6.6,0,107942.661975138,350294860.374676
910501,13045910501,9105.01,ARC 20,,,SDE,2015/05/27 16:20:53,8876,7114,4539,2929,136,1044,4337,51.1,33,48.9,4332,2059,68,549,2782,60.9,28.9,39.1,207,870,495,,153.2,228,1.5,2.6,7.7,106,1,1.5,7.7,68,122,-9.8,4.1,0.5,1.1,4.1,0,101355.083791631,321595170.318669
910702,13045910702,9107.02,ARC 20,,,SDE,2015/05/27 16:20:53,7738,5270,6445,835,73,229,1293,83.3,10.8,16.7,4726,386,25,75,544,89.7,7.3,10.3,1719,449,154,,104.1,156,0.9,2,1.4,58,0.5,1.1,1.4,48,98,-6.4,3.5,0.4,0.9,1.6,0,117348.28427535,660896317.315651
911200,13045911200,9112,ARC 20,,,SDE,2015/05/27 16:20:53,5728,5545,4645,738,25,197,1083,81.1,12.9,18.9,4640,746,15,76,905,83.7,13.5,16.3,5,-8,121,,2.8,123,0.4,2.1,1.4,68,0.3,1.2,1.4,10,55,-2.6,-0.6,0.1,0.9,2,0,202142.90764254,1823469968.92345
910400,13045910400,9104,ARC 20,,,SDE,2015/05/27 16:20:53,3281,3649,2902,253,5,54,379,88.4,7.7,11.6,3317,237,4,63,332,90.9,6.5,9.1,-415,16,-9,,-8.5,67,0.2,2,1.7,28,0.1,0.8,1.7,1,39,-2.5,1.2,0.1,1.2,-0.1,0,196671.673544441,1202468139.31595
140207,13113140207,1402.07,ARC 10,,,SDE,2015/05/27 16:20:53,5530,5378,4570,292,308,270,960,82.6,5.3,17.4,4785,201,211,104,593,89,3.7,11,-215,91,166,,49,90,5.6,1.6,1.9,77,3.9,1.4,1.9,97,13,-6.4,1.6,1.7,0.2,3,0,41494.197815993,87756398.850407
140208,13113140208,1402.08,ARC 10,,,SDE,2015/05/27 16:20:53,7713,4795,5195,874,685,712,2518,67.4,11.3,32.6,3710,594,192,225,1085,77.4,12.4,22.6,1485,280,487,,435.5,247,8.9,3.2,4.7,74,4,1.5,4.7,493,173,-10,-1.1,4.9,1.7,4.5,0,76889.4961770768,187201161.324454
140303,13113140303,1403.03,ARC 10,,,SDE,2015/05/27 16:20:53,4550,5055,3691,272,176,325,859,81.1,6,18.9,4298,275,184,229,757,85,5.4,15,-607,-3,96,,-88.6,86,3.9,1.9,4.5,69,3.6,1.4,4.5,-8,17,-3.9,0.6,0.3,0.5,2.6,0,74036.546092173,158158984.969019
140304,13113140304,1403.04,ARC 10,,,SDE,2015/05/27 16:20:53,5757,6350,4757,321,143,400,1000,82.6,5.6,17.4,5674,203,150,227,676,89.4,3.2,10.6,-917,118,173,,-109.8,136,2.5,2.4,3.6,96,2.4,1.5,3.6,-7,40,-6.8,2.4,0.1,0.9,3.3,0,54031.7991976389,150049861.873083
140307,13113140307,1403.07,ARC 10,,,SDE,2015/05/27 16:20:53,4878,4051,4361,197,102,156,517,89.4,4,10.6,3664,164,80,87,387,90.4,4,9.6,697,33,69,,123.4,62,2.1,1.3,2.1,56,2,1.4,2.1,22,6,-1,0,0.1,-0.1,1.1,0,82519.0876519657,187003550.423712
140408,13113140408,1404.08,ARC 10,,,SDE,2015/05/27 16:20:53,3239,3398,2257,687,57,150,982,69.7,21.2,30.3,2722,517,30,98,676,80.1,15.2,19.9,-465,170,52,,-26.1,88,1.8,2.7,2.9,31,0.9,0.9,2.9,27,57,-10.4,6,0.9,1.8,1.7,0,68558.8361291726,170909080.973232
140407,13113140407,1404.07,ARC 10,,,SDE,2015/05/27 16:20:53,7707,6029,4398,2395,436,330,3309,57.1,31.1,42.9,5077,593,154,131,952,84.2,9.8,15.8,-679,1802,199,,195.1,148,5.7,1.9,2.2,74,2.6,1.2,2.2,282,74,-27.1,21.3,3.1,0.7,2.1,0,73602.3079039766,240410203.459339
140405,13113140405,1404.05,ARC 10,,,SDE,2015/05/27 16:20:53,3441,3328,2675,491,94,119,766,77.7,14.3,22.3,2851,325,55,56,477,85.7,9.8,14.3,-176,166,63,,14.3,62,2.7,1.8,1.7,40,1.7,1.2,1.7,39,22,-8,4.5,1,0.6,1.8,0,86159.2096180504,219994430.327601
140404,13113140404,1404.04,ARC 10,,,SDE,2015/05/27 16:20:53,5533,4547,3389,1364,335,278,2144,61.3,24.7,38.7,3745,548,83,124,802,82.4,12.1,17.6,-356,816,154,,179.3,167,6.1,3,2.7,47,1.8,1,2.7,252,120,-21.1,12.6,4.3,2,2.3,0,57455.0140508061,153291601.515406
140206,13113140206,1402.06,ARC 10,,,SDE,2015/05/27 16:20:53,4465,3561,3619,369,127,217,846,81.1,8.3,18.9,3198,157,95,80,363,89.8,4.4,10.2,421,212,137,,161.4,133,2.8,3,2.2,31,2.7,0.9,2.2,32,102,-8.7,3.9,0.1,2.1,2.7,0,69712.6691047536,154774161.29234
140203,13113140203,1402.03,ARC 10,,,SDE,2015/05/27 16:20:53,5743,3492,3751,1446,207,189,1992,65.3,25.2,34.7,3251,118,34,49,241,93.1,3.4,6.9,500,1328,140,,216.4,150,3.6,2.6,1.4,40,1,1.1,1.4,173,110,-27.8,21.8,2.6,1.5,1.9,0,91254.2436918478,290001802.812385
140204,13113140204,1402.04,ARC 10,,,SDE,2015/05/27 16:20:53,5190,4501,2760,1143,112,1064,2430,53.2,22,46.8,3646,492,70,204,855,81,10.9,19,-886,651,860,,42.5,111,2.2,2.1,4.5,89,1.6,2,4.5,42,22,-27.8,11.1,0.6,0.1,16,0,111233.227689548,451689259.554735
140305,13113140305,1403.05,ARC 10,,,SDE,2015/05/27 16:20:53,4685,2189,3510,490,179,421,1175,74.9,10.5,25.1,1951,116,37,66,238,89.1,5.3,10.9,1559,374,355,,247.1,85,3.8,1.8,3,19,1.7,0.9,3,142,66,-14.2,5.2,2.1,0.9,6,0,75691.0599903283,281645192.402095
140403,13113140403,1404.03,ARC 10,,,SDE,2015/05/27 16:20:53,5282,4521,2324,2351,286,190,2958,44,44.5,56,3225,998,157,100,1296,71.3,22.1,28.7,-901,1353,90,,122.7,131,5.4,2.5,2.2,41,3.5,0.9,2.2,129,90,-27.3,22.4,1.9,1.6,1.4,1,60438.1572472479,171544532.960813
140406,13113140406,1404.06,ARC 10,,,SDE,2015/05/27 16:20:53,3566,3372,2002,1146,98,211,1564,56.1,32.1,43.9,2859,285,75,105,513,84.8,8.5,15.2,-857,861,106,,37.3,109,2.7,3.1,3.1,48,2.2,1.4,3.1,23,61,-28.7,23.6,0.5,1.7,2.8,0,64901.9223152953,145879392.943182
140306,13113140306,1403.06,ARC 10,,,SDE,2015/05/27 16:20:53,7234,6947,5515,544,389,663,1719,76.2,7.5,23.8,5693,500,310,334,1254,81.9,7.2,18.1,-178,44,329,,56.3,123,5.4,1.7,4.8,110,4.5,1.6,4.8,79,13,-5.7,0.3,0.9,0.1,4.4,0,53563.4374397149,143487501.381617
140102,13113140102,1401.02,ARC 10,,,SDE,2015/05/27 16:20:53,5436,5482,2869,2013,195,240,2567,52.8,37,47.2,4015,1103,152,119,1467,73.2,20.1,26.8,-1146,910,121,,-3.8,119,3.6,2.2,2.2,93,2.8,1.7,2.2,43,26,-20.4,16.9,0.8,0.5,2.2,0,109851.693263908,336656631.741546
140101,13113140101,1401.01,ARC 10,,,SDE,2015/05/27 16:20:53,7407,6597,2261,4312,138,531,5146,30.5,58.2,69.5,3260,2962,78,131,3337,49.4,44.9,50.6,-999,1350,400,,49.1,165,1.9,2.2,2,166,1.2,2.5,2,60,-1,-18.9,13.3,0.7,-0.3,5.2,0,102874.559858092,458546834.726017
140502,13113140502,1405.02,ARC 10,,,SDE,2015/05/27 16:20:53,3321,2976,3088,78,14,104,233,93,2.3,7,2824,56,13,40,152,94.9,1.9,5.1,264,22,64,,12.4,37,0.4,1.1,1.3,43,0.4,1.4,1.3,1,-6,-1.9,0.4,0,-0.3,1.8,0,139816.000044208,777975618.846944
140501,13113140501,1405.01,ARC 10,,,SDE,2015/05/27 16:20:53,5890,4694,5210,332,86,190,680,88.5,5.6,11.5,4371,176,44,73,323,93.1,3.7,6.9,839,156,117,,42.3,72,1.5,1.2,1.6,30,0.9,0.6,1.6,42,42,-4.6,1.9,0.6,0.6,1.6,0,159570.132794612,788791147.57867
060404,13247060404,604.04,ARC 10,,,SDE,2015/05/27 16:20:53,5643,5915,3166,1944,78,338,2477,56.1,34.4,43.9,5042,595,67,150,873,85.2,10.1,14.8,-1876,1349,188,,-45.3,117,1.4,2.1,2.5,61,1.1,1,2.5,11,56,-29.1,24.3,0.3,1.1,3.5,0,64682.2581457978,167466513.214076
060304,13247060304,603.04,ARC 10,,,SDE,2015/05/27 16:20:53,5591,4613,1826,2983,86,577,3765,32.7,53.4,67.3,2657,1452,79,371,1956,57.6,31.5,42.4,-831,1531,206,,120.7,119,1.5,2.1,8,54,1.7,1.2,8,7,65,-24.9,21.9,-0.2,0.9,2.3,1,90066.9836752818,224605713.567397
060101,13247060101,601.01,ARC 10,,,SDE,2015/05/27 16:20:53,3446,3342,2409,724,62,186,1037,69.9,21,30.1,2983,221,16,73,359,89.3,6.6,10.7,-574,503,113,,9.5,65,1.8,1.9,2.2,49,0.5,1.5,2.2,46,16,-19.4,14.4,1.3,0.4,3.2,0,77808.1997356118,307143932.879104
060202,13247060202,602.02,ARC 10,,,SDE,2015/05/27 16:20:53,9561,7623,3421,5348,208,409,6140,35.8,55.9,64.2,5498,1748,137,153,2125,72.1,22.9,27.9,-2077,3600,256,,174.6,175,2.2,1.8,2,87,1.8,1.1,2,71,88,-36.3,33,0.4,0.7,2.3,1,74189.430883602,309016178.704096
060201,13247060201,602.01,ARC 10,,,SDE,2015/05/27 16:20:53,4821,4659,1184,1089,13,2458,3637,24.6,22.6,75.4,2045,770,37,1749,2614,43.9,16.5,56.1,-861,319,709,,31.8,77,0.3,1.6,37.5,58,0.8,1.2,37.5,-24,19,-19.3,6.1,-0.5,0.4,13.5,0,67165.7372847306,143412137.717664
060306,13247060306,603.06,ARC 10,,,SDE,2015/05/27 16:20:53,2705,1383,704,1736,60,138,2001,26,64.2,74,1022,333,11,6,361,73.9,24.1,26.1,-318,1403,132,,231.9,67,2.2,2.5,0.4,11,0.8,0.8,0.4,49,56,-47.9,40.1,1.4,1.7,4.7,1,64207.6471840766,157623715.701727
060407,13247060407,604.07,ARC 10,,,SDE,2015/05/27 16:20:53,3294,3489,2311,733,38,151,983,70.2,22.3,29.8,3109,209,27,89,380,89.1,6,10.9,-798,524,62,,-84.8,61,1.2,1.9,2.6,55,0.8,1.6,2.6,11,6,-18.9,16.3,0.4,0.3,2,0,51188.2919232618,64935948.9805994
060403,13247060403,604.03,ARC 10,,,SDE,2015/05/27 16:20:53,3563,2606,1871,1529,53,55,1692,52.5,42.9,47.5,2203,299,48,29,403,84.5,11.5,15.5,-332,1230,26,,63.8,55,1.5,1.5,1.1,27,1.8,1,1.1,5,28,-32,31.4,-0.3,0.5,0.4,0,131796.667386412,416935105.883279
060406,13247060406,604.06,ARC 10,,,SDE,2015/05/27 16:20:53,5323,5149,3223,1630,128,250,2100,60.5,30.6,39.5,4515,403,108,69,634,87.7,7.8,12.3,-1292,1227,181,,41.4,92,2.4,1.7,1.3,54,2.1,1,1.3,20,38,-27.2,22.8,0.3,0.7,3.4,0,50619.1829553302,117616271.625449
060305,13247060305,603.05,ARC 10,,,SDE,2015/05/27 16:20:53,5101,4203,1080,2988,65,853,4021,21.2,58.6,78.8,2278,1220,174,456,1925,54.2,29,45.8,-1198,1768,397,,138.2,115,1.3,2.3,10.8,75,4.1,1.8,10.8,-109,40,-33,29.6,-2.8,0.5,5.9,1,75657.493478512,181880026.882896
060309,13247060309,603.09,ARC 10,,,SDE,2015/05/27 16:20:53,5970,4935,1854,2725,72,1208,4116,31.1,45.6,68.9,2855,1800,52,151,2080,57.9,36.5,42.1,-1001,925,1057,,323.4,111,1.2,1.9,3.1,77,1.1,1.6,3.1,20,34,-26.8,9.1,0.1,0.3,17.1,1,44436.0818355179,90494498.7365635
060308,13247060308,603.08,ARC 10,,,SDE,2015/05/27 16:20:53,7136,4474,1933,4157,136,726,5203,27.1,58.3,72.9,2803,879,115,573,1671,62.7,19.6,37.3,-870,3278,153,,858.7,184,1.9,2.6,12.8,104,2.6,2.3,12.8,21,80,-35.6,38.7,-0.7,0.3,-2.6,1,45042.8958153065,87228462.2578368
060405,13247060405,604.05,ARC 10,,,SDE,2015/05/27 16:20:53,6945,5333,4072,2441,121,153,2873,58.6,35.1,41.4,4664,460,81,64,669,87.5,8.6,12.5,-592,1981,89,,90.6,158,1.7,2.3,1.2,64,1.5,1.2,1.2,40,94,-28.9,26.5,0.2,1.1,1,0,126389.904417787,497213387.013526
060307,13247060307,603.07,ARC 10,,,SDE,2015/05/27 16:20:53,10647,7890,2488,7166,400,325,8159,23.4,67.3,76.6,5350,1920,377,142,2540,67.8,24.3,32.2,-2862,5246,183,,483.7,268,3.8,2.5,1.8,101,4.8,1.3,1.8,23,167,-44.4,43,-1,1.2,1.3,1,59382.5848842219,158878121.597283
060102,13247060102,601.02,ARC 10,,,SDE,2015/05/27 16:20:53,5469,4498,3284,1803,30,236,2185,60,33,40,3943,361,46,107,555,87.7,8,12.3,-659,1442,129,,35.7,116,0.5,2.1,2.4,40,1,0.9,2.4,-16,76,-27.7,25,-0.5,1.2,1.9,0,154592.268281392,757490819.979178
030330,13067030330,303.30,ARC 10,,,SDE,2015/05/27 16:20:54,5706,5386,4180,310,780,297,1526,73.3,5.4,26.7,4651,211,306,136,735,86.4,3.9,13.6,-471,99,161,,139.1,139,13.7,2.4,2.5,82,5.7,1.5,2.5,474,57,-13.1,1.5,8,0.9,2.7,0,43758.1035143326,65231395.8161678
030328,13067030328,303.28,ARC 10,,,SDE,2015/05/27 16:20:54,6431,6727,5424,245,375,272,1007,84.3,3.8,15.7,5997,253,206,201,730,89.1,3.8,10.9,-573,-8,71,,-113.8,115,5.8,1.8,3,70,3.1,1,3,169,45,-4.8,0,2.7,0.8,1.2,0,48852.9180690557,72659643.8199884
030700,13067030700,307,ARC 10,,,SDE,2015/05/27 16:20:54,4092,5296,1256,1683,60,1024,2836,30.7,41.1,69.3,1596,2497,166,918,3700,30.1,47.1,69.9,-340,-814,106,,-708.2,69,1.5,1.7,17.3,119,3.1,2.2,17.3,-106,-50,0.6,-6,-1.6,-0.5,7.7,0,30163.6183086322,46354789.2641586
030324,13067030324,303.24,ARC 10,,,SDE,2015/05/27 16:20:54,3441,3750,2708,271,101,277,733,78.7,7.9,21.3,3246,220,58,164,504,86.6,5.9,13.4,-538,51,113,,-220.7,84,2.9,2.4,4.4,62,1.5,1.7,4.4,43,22,-7.9,2,1.4,0.7,3.6,0,33140.9497844806,39862481.1508424
030312,13067030312,303.12,ARC 10,,,SDE,2015/05/27 16:20:54,6306,6579,4612,561,402,574,1694,73.1,8.9,26.9,5437,460,254,281,1142,82.6,7,17.4,-825,101,293,,-80.3,157,6.4,2.5,4.3,147,3.9,2.2,4.3,148,10,-9.5,1.9,2.5,0.3,4.8,0,42822.4289738005,93626844.6133491
030228,13067030228,302.28,ARC 10,,,SDE,2015/05/27 16:20:54,6394,6291,3842,1264,304,790,2552,60.1,19.8,39.9,4628,597,269,593,1663,73.6,9.5,26.4,-786,667,197,,27.8,194,4.8,3,9.4,204,4.3,3.2,9.4,35,-10,-13.5,10.3,0.5,-0.2,3,0,45229.2219406261,104439450.360194
030231,13067030231,302.31,ARC 10,,,SDE,2015/05/27 16:20:54,7688,6865,6612,496,198,233,1076,86,6.5,14,6384,191,74,147,481,93,2.8,7,228,305,86,,147,149,2.6,1.9,2.1,69,1.1,1,2.1,124,80,-7,3.7,1.5,0.9,0.9,0,56438.3639455204,157030195.260729
030230,13067030230,302.30,ARC 10,,,SDE,2015/05/27 16:20:54,12572,4793,7079,3018,737,1353,5493,56.3,24,43.7,3729,299,153,553,1064,77.8,6.2,22.2,3350,2719,800,,1275.2,385,5.9,3.1,11.5,59,3.2,1.2,11.5,584,326,-21.5,17.8,2.7,1.9,-0.7,0,63611.383191106,169818845.483315
030311,13067030311,303.11,ARC 10,,,SDE,2015/05/27 16:20:54,6010,6307,4838,484,223,340,1172,80.5,8.1,19.5,5477,375,180,200,830,86.8,5.9,13.2,-639,109,140,,-90,125,3.7,2.1,3.2,75,2.9,1.2,3.2,43,50,-6.3,2.2,0.8,0.9,2.5,0,44010.4978278588,92778307.9752697
031001,13067031001,310.01,ARC 10,,,SDE,2015/05/27 16:20:54,5215,5518,1336,1013,26,2725,3879,25.6,19.4,74.4,2138,1263,39,1991,3380,38.7,22.9,61.3,-802,-250,734,,-50.5,115,0.5,2.2,36.1,87,0.7,1.6,36.1,-13,28,-13.1,-3.5,-0.2,0.6,16.2,0,64595.0713931129,167844984.645337
030310,13067030310,303.10,ARC 10,,,SDE,2015/05/27 16:20:54,8087,7792,5642,905,228,1065,2445,69.8,11.2,30.2,6306,604,235,503,1486,80.9,7.8,19.1,-664,301,562,,86.8,247,2.8,3.1,6.5,144,3,1.8,6.5,-7,103,-11.1,3.4,-0.2,1.3,6.7,0,44295.6155363853,94444472.3239413
030215,13067030215,302.15,ARC 10,,,SDE,2015/05/27 16:20:54,8716,7696,5751,1036,502,1198,2965,66,11.9,34,6274,567,240,453,1422,81.5,7.4,18.5,-523,469,745,,364.3,229,5.8,2.6,5.9,162,3.1,2.1,5.9,262,67,-15.5,4.5,2.7,0.5,7.8,0,36759.1054378185,77922022.7508394
030601,13067030601,306.01,ARC 10,,,SDE,2015/05/27 16:20:54,8706,3722,3932,2527,1101,822,4774,45.2,29,54.8,2627,530,208,269,1095,70.6,14.2,29.4,1305,1997,553,,1384.4,324,12.6,3.7,7.2,88,5.6,2.4,7.2,893,236,-25.4,14.8,7,1.3,2.2,1,40551.6105968364,100962953.154958
030227,13067030227,302.27,ARC 10,,,SDE,2015/05/27 16:20:54,7281,6982,4516,1310,255,994,2765,62,18,38,5583,688,169,410,1399,80,9.9,20,-1067,622,584,,87.9,206,3.5,2.8,5.9,132,2.4,1.9,5.9,86,74,-18,8.1,1.1,0.9,7.8,0,45728.7798571052,93691290.4627745
030602,13067030602,306.02,ARC 10,,,SDE,2015/05/27 16:20:54,6788,6410,5600,781,78,206,1188,82.5,11.5,17.5,5498,550,78,223,912,85.8,8.6,14.2,102,231,-17,,61,123,1.1,1.8,3.5,61,1.2,1,3.5,0,62,-3.3,2.9,-0.1,0.8,-0.5,0,60457.6418344694,172110856.146391
030506,13067030506,305.06,ARC 10,,,SDE,2015/05/27 16:20:54,4313,3485,2551,781,146,683,1762,59.1,18.1,40.9,2764,315,140,189,721,79.3,9,20.7,-213,466,494,,267.1,152,3.4,3.5,5.4,77,4,2.2,5.4,6,75,-20.2,9.1,-0.6,1.3,10.4,0,42824.1436891578,86572915.9223227
030507,13067030507,305.07,ARC 10,,,SDE,2015/05/27 16:20:54,5031,4908,3535,669,310,364,1496,70.3,13.3,29.7,3837,543,214,229,1071,78.2,11.1,21.8,-302,126,135,,51.3,153,6.2,3,4.7,85,4.4,1.7,4.7,96,68,-7.9,2.2,1.8,1.3,2.5,0,33484.4416557206,66670260.8012753
030229,13067030229,302.29,ARC 10,,,SDE,2015/05/27 16:20:54,5695,3605,4071,1015,127,361,1624,71.5,17.8,28.5,3030,287,84,138,575,84,8,16,1041,728,223,,409.8,121,2.2,2.1,3.8,66,2.3,1.8,3.8,43,55,-12.5,9.8,-0.1,0.3,2.5,0,61878.7114237853,141068727.230026
031208,13067031208,312.08,ARC 10,,,SDE,2015/05/27 16:20:54,5679,4334,2963,1532,733,294,2716,52.2,27,47.8,3096,739,202,231,1238,71.4,17.1,28.6,-133,793,63,,960.7,157,12.9,2.8,5.3,66,4.7,1.5,5.3,531,91,-19.2,9.9,8.2,1.3,-0.1,0,27257.5493357799,39191090.9423985
031207,13067031207,312.07,ARC 10,,,SDE,2015/05/27 16:20:54,3244,3050,1931,828,242,157,1313,59.5,25.5,40.5,2347,417,146,87,703,77,13.7,23,-416,411,70,,176.4,86,7.5,2.7,2.9,53,4.8,1.7,2.9,96,33,-17.5,11.8,2.7,1,1.9,0,23168.6833379411,30510009.2089459
030226,13067030226,302.26,ARC 10,,,SDE,2015/05/27 16:20:54,9648,6538,5655,2365,536,787,3993,58.6,24.5,41.4,4951,909,295,222,1587,75.7,13.9,24.3,704,1456,565,,1151.9,305,5.6,3.2,3.4,160,4.5,2.4,3.4,241,145,-17.1,10.6,1.1,0.8,4.8,0,44522.9117914656,75403960.7423234
031505,13067031505,315.05,ARC 10,,,SDE,2015/05/27 16:20:54,5992,6099,2566,2786,52,432,3426,42.8,46.5,57.2,3677,2021,82,238,2422,60.3,33.1,39.7,-1111,765,194,,-27.4,156,0.9,2.6,3.9,81,1.3,1.3,3.9,-30,75,-17.5,13.4,-0.4,1.3,3.3,1,47744.1161355603,108434957.044144
030313,13067030313,303.13,ARC 10,,,SDE,2015/05/27 16:20:54,7970,7226,5186,1136,847,557,2784,65.1,14.3,34.9,5680,633,444,292,1546,78.6,8.8,21.4,-494,503,265,,201.1,244,10.6,3.1,4,177,6.1,2.4,4,403,67,-13.5,5.5,4.5,0.7,3,0,45002.3203936996,102994725.700989
031310,13067031310,313.10,ARC 10,,,SDE,2015/05/27 16:20:54,6301,5178,260,4126,47,1768,6041,4.1,65.5,95.9,678,3645,23,751,4500,13.1,70.4,86.9,-418,481,1017,,244.1,100,0.7,1.6,14.5,81,0.4,1.6,14.5,24,19,-9,-4.9,0.3,0,13.6,0,55188.4179384951,127674502.129991
030214,13067030214,302.14,ARC 10,,,SDE,2015/05/27 16:20:54,8194,6968,5876,1135,261,747,2318,71.7,13.9,28.3,5980,510,142,240,988,85.8,7.3,14.2,-104,625,507,,299,175,3.2,2.1,3.4,96,2,1.4,3.4,119,79,-14.1,6.6,1.2,0.7,5.7,0,45818.1785981104,114812746.750962
