TRACTCE10,GEOID10,NAME10,PLNG_REGIO,created_us,created_da,last_edite,last_edit2,Occupied_h,Total_hous,No_vehicle,Percent__N,GlobalID,Pop_Chng_p,Shape_Leng,Shape_Area
030229,13067030229,302.29,ARC 10,,,SDE,2015/06/01 14:29:55,1054,1185,103,9.8,,409.8,61878.7114237853,141068727.230026
031208,13067031208,312.08,ARC 10,,,SDE,2015/06/01 14:29:55,3068,3344,167,5.4,,960.7,27257.5493357799,39191090.9423985
031207,13067031207,312.07,ARC 10,,,SDE,2015/06/01 14:29:55,2059,2359,55,2.7,,176.4,23168.6833379411,30510009.2089459
030226,13067030226,302.26,ARC 10,,,SDE,2015/06/01 14:29:55,3220,3541,55,1.7,,1151.9,44522.9117914656,75403960.7423234
031505,13067031505,315.05,ARC 10,,,SDE,2015/06/01 14:29:55,1996,2212,92,4.6,,-27.4,47744.1161355603,108434957.044144
030313,13067030313,303.13,ARC 10,,,SDE,2015/06/01 14:29:55,2746,2947,12,0.4,,201.1,45002.3203936996,102994725.700989
031310,13067031310,313.10,ARC 10,,,SDE,2015/06/01 14:29:55,2435,2884,263,10.8,,244.1,55188.4179384951,127674502.129991
030214,13067030214,302.14,ARC 10,,,SDE,2015/06/01 14:29:55,2846,3025,28,1,,299,45818.1785981104,114812746.750962
031212,13067031212,312.12,ARC 10,,,SDE,2015/06/01 14:29:55,956,1032,0,0,,-71.3,33162.9074745281,45134948.8770879
031211,13067031211,312.11,ARC 10,,,SDE,2015/06/01 14:29:55,2201,2806,26,1.2,,-73.3,18498.6026501853,16233232.6711816
031209,13067031209,312.09,ARC 10,,,SDE,2015/06/01 14:29:55,1649,1734,3,0.2,,600.8,33040.3175424092,36737430.9944492
030224,13067030224,302.24,ARC 10,,,SDE,2015/06/01 14:29:55,2409,2501,69,2.9,,1697.2,33770.7924276771,49354989.0913128
031205,13067031205,312.05,ARC 10,,,SDE,2015/06/01 14:29:55,2846,3149,43,1.5,,688.6,44599.3868085425,81457915.3898151
031206,13067031206,312.06,ARC 10,,,SDE,2015/06/01 14:29:55,4464,4718,202,4.5,,1112.2,53844.2144909831,99056203.1037678
030220,13067030220,302.20,ARC 10,,,SDE,2015/06/01 14:29:55,593,593,5,0.8,,-44.3,18010.0336028912,19589927.3263991
030905,13067030905,309.05,ARC 10,,,SDE,2015/06/01 14:29:55,1802,2015,31,1.7,,398.3,39512.9144939895,65923560.7113591
030502,13067030502,305.02,ARC 10,,,SDE,2015/06/01 14:29:55,2517,2783,0,0,,114.1,56219.2490839253,103724228.286331
030209,13067030209,302.09,ARC 10,,,SDE,2015/06/01 14:29:55,2362,2527,16,0.7,,253.6,53260.5009613998,147416983.713557
030326,13067030326,303.26,ARC 10,,,SDE,2015/06/01 14:29:55,1426,1480,8,0.6,,-70.4,40231.8515338404,77266837.5573944
031108,13067031108,311.08,ARC 10,,,SDE,2015/06/01 14:29:55,2614,2948,54,2.1,,-380.8,33949.777588628,36146122.7996416
130105,13117130105,1301.05,ARC 20,,,SDE,2015/06/01 14:29:55,664,872,48,7.2,,106.5,53020.8312592926,112630086.014715
130205,13117130205,1302.05,ARC 20,,,SDE,2015/06/01 14:29:55,631,823,44,7,,113.9,75927.9270660977,183067196.47579
130603,13117130603,1306.03,ARC 20,,,SDE,2015/06/01 14:29:55,1209,1392,19,1.6,,391.4,60109.8921319631,165603885.257405
130610,13117130610,1306.10,ARC 20,,,SDE,2015/06/01 14:29:55,1357,1420,0,0,,125.9,68274.72175174,114164451.25977
130606,13117130606,1306.06,ARC 20,,,SDE,2015/06/01 14:29:55,1464,1497,81,5.5,,263.5,28595.1102488079,48306565.4110099
130604,13117130604,1306.04,ARC 20,,,SDE,2015/06/01 14:29:55,1625,1645,15,0.9,,693.6,36155.0852752645,68423357.2796995
130611,13117130611,1306.11,ARC 20,,,SDE,2015/06/01 14:29:55,1022,1205,12,1.2,,633.3,37202.3527975002,68241117.3060455
130609,13117130609,1306.09,ARC 20,,,SDE,2015/06/01 14:29:55,1313,1334,0,0,,1147.7,42661.1614108177,73582954.2766652
130607,13117130607,1306.07,ARC 20,,,SDE,2015/06/01 14:29:55,1544,1601,0,0,,1206.3,45617.7331503472,83250218.2006014
130605,13117130605,1306.05,ARC 20,,,SDE,2015/06/01 14:29:55,1345,1456,18,1.3,,684.5,40006.7376568717,79445089.3283569
130602,13117130602,1306.02,ARC 20,,,SDE,2015/06/01 14:29:55,1521,1701,19,1.2,,810.9,33614.7336679446,60033597.5922582
130508,13117130508,1305.08,ARC 20,,,SDE,2015/06/01 14:29:55,1614,1821,74,4.6,,491.8,59197.0781770971,124087110.781706
130507,13117130507,1305.07,ARC 20,,,SDE,2015/06/01 14:29:55,954,1223,0,0,,80,56125.9374424185,106780504.3043
130409,13117130409,1304.09,ARC 20,,,SDE,2015/06/01 14:29:55,782,981,45,5.8,,201.7,42702.6982969389,96185080.4791116
030218,13067030218,302.18,ARC 10,,,SDE,2015/06/01 14:29:55,1697,1730,18,1.1,,455.4,42221.6923164887,97689529.1066598
030219,13067030219,302.19,ARC 10,,,SDE,2015/06/01 14:29:55,3003,3154,40,1.3,,572.9,65359.4498797359,201533432.025285
030235,13067030235,302.35,ARC 10,,,SDE,2015/06/01 14:29:55,1554,1703,8,0.5,,120.8,51719.6228721265,134639670.112738
030234,13067030234,302.34,ARC 10,,,SDE,2015/06/01 14:29:55,1848,1934,15,0.8,,376.7,50882.6942692398,127457328.944207
030233,13067030233,302.33,ARC 10,,,SDE,2015/06/01 14:29:55,1492,1533,68,4.6,,-1.1,41330.9740842874,76583424.3030389
030337,13067030337,303.37,ARC 10,,,SDE,2015/06/01 14:29:55,1646,1735,107,6.5,,6.1,32493.1166883081,50349268.8164653
030334,13067030334,303.34,ARC 10,,,SDE,2015/06/01 14:29:55,1204,1282,19,1.6,,-140,26449.3252491689,42931952.6556997
031111,13067031111,311.11,ARC 10,,,SDE,2015/06/01 14:29:55,1727,1936,38,2.2,,-353.8,21134.3636109306,21043768.4623279
031110,13067031110,311.10,ARC 10,,,SDE,2015/06/01 14:29:55,1443,1492,44,3,,-166,23728.1108772313,29102204.52051
030405,13067030405,304.05,ARC 10,,,SDE,2015/06/01 14:29:55,2888,2999,140,4.8,,-74,39763.073468319,43100761.575918
031101,13067031101,311.01,ARC 10,,,SDE,2015/06/01 14:29:55,1617,2126,164,10.1,,34.6,25251.5754801316,35824011.2655969
130305,13117130305,1303.05,ARC 20,,,SDE,2015/06/01 14:29:55,1300,1512,9,0.7,,610.3,44442.5218224602,108481243.841716
130301,13117130301,1303.01,ARC 20,,,SDE,2015/06/01 14:29:55,1484,1671,132,8.9,,240.6,82798.5365592294,226107419.002201
130405,13117130405,1304.05,ARC 20,,,SDE,2015/06/01 14:29:55,1132,1385,0,0,,542.1,52262.7181627207,107823013.168126
130504,13117130504,1305.04,ARC 20,,,SDE,2015/06/01 14:29:55,1319,1678,0,0,,64.7,76991.4654984971,161592567.770838
130505,13117130505,1305.05,ARC 20,,,SDE,2015/06/01 14:29:55,1056,1283,11,1,,74.6,71681.3266577093,236985906.543289
130503,13117130503,1305.03,ARC 20,,,SDE,2015/06/01 14:29:55,901,1187,38,4.2,,70.7,97748.9987853495,364549509.235899
130102,13117130102,1301.02,ARC 20,,,SDE,2015/06/01 14:29:55,955,994,23,2.4,,207.4,72070.2559177304,148420986.477001
130103,13117130103,1301.03,ARC 20,,,SDE,2015/06/01 14:29:55,1136,1348,44,3.9,,190.1,78112.4568659808,257620551.331946
130303,13117130303,1303.03,ARC 20,,,SDE,2015/06/01 14:29:55,1130,1255,51,4.5,,111.4,70803.0976444922,197058872.316416
130201,13117130201,1302.01,ARC 20,,,SDE,2015/06/01 14:29:55,1353,1456,0,0,,221.6,99795.9779828839,412151145.717026
030232,13067030232,302.32,ARC 10,,,SDE,2015/06/01 14:29:55,1865,1982,24,1.3,,231.8,40385.739460787,109670183.598386
030222,13067030222,302.22,ARC 10,,,SDE,2015/06/01 14:29:55,1932,1990,23,1.2,,-31.1,30049.7879177054,49214800.2826302
031118,13067031118,311.18,ARC 10,,,SDE,2015/06/01 14:29:55,2322,2480,101,4.3,,133,33574.114030287,54621562.2391426
031117,13067031117,311.17,ARC 10,,,SDE,2015/06/01 14:29:55,1962,2284,29,1.5,,-182.5,36903.2560442972,65937043.7370897
031507,13067031507,315.07,ARC 10,,,SDE,2015/06/01 14:29:55,1081,1151,27,2.5,,-124.7,28395.6135157744,42414812.9708326
031004,13067031004,310.04,ARC 10,,,SDE,2015/06/01 14:29:55,2398,2954,298,12.4,,-449.4,29441.0236495568,44935095.6091719
030103,13067030103,301.03,ARC 10,,,SDE,2015/06/01 14:29:55,3017,3485,169,5.6,,498.9,60374.9915968184,173108183.664561
031404,13067031404,314.04,ARC 10,,,SDE,2015/06/01 14:29:55,2110,2304,128,6.1,,117.9,48451.8902407456,94829090.5015213
031306,13067031306,313.06,ARC 10,,,SDE,2015/06/01 14:29:55,1505,1515,102,6.8,,107.7,38070.481695092,59941890.6981489
030101,13067030101,301.01,ARC 10,,,SDE,2015/06/01 14:29:55,2623,2800,78,3,,100.7,87446.9182805944,330938624.957892
030104,13067030104,301.04,ARC 10,,,SDE,2015/06/01 14:29:55,1425,1618,177,12.4,,150.7,29060.9245688323,42711393.9464667
130613,13117130613,1306.13,ARC 20,,,SDE,2015/06/01 14:29:55,970,1040,80,8.2,,474.2,48899.0207854657,87743636.710641
130408,13117130408,1304.08,ARC 20,,,SDE,2015/06/01 14:29:55,1298,1373,126,9.7,,320.7,37830.0511432735,73884274.0089371
130612,13117130612,1306.12,ARC 20,,,SDE,2015/06/01 14:29:55,1836,1877,8,0.4,,734.3,43016.9630509637,103515699.054415
130608,13117130608,1306.08,ARC 20,,,SDE,2015/06/01 14:29:55,1328,1590,7,0.5,,972.4,51992.4545189948,94570828.1989235
130307,13117130307,1303.07,ARC 20,,,SDE,2015/06/01 14:29:55,984,1126,15,1.5,,246,53579.7370895808,132924612.917863
130302,13117130302,1303.02,ARC 20,,,SDE,2015/06/01 14:29:55,1629,1804,0,0,,482.6,51060.5460993337,129034944.772519
130304,13117130304,1303.04,ARC 20,,,SDE,2015/06/01 14:29:55,1260,1347,11,0.9,,138.3,59897.5453232899,134773955.593994
130404,13117130404,1304.04,ARC 20,,,SDE,2015/06/01 14:29:55,1309,1343,0,0,,1065.2,44883.6793068178,70513190.5906674
130306,13117130306,1303.06,ARC 20,,,SDE,2015/06/01 14:29:55,1292,1521,27,2.1,,544.7,45891.7179948768,88312691.5789102
130601,13117130601,1306.01,ARC 20,,,SDE,2015/06/01 14:29:55,1277,1429,33,2.6,,281.9,74091.9381750082,185902250.851556
130510,13117130510,1305.10,ARC 20,,,SDE,2015/06/01 14:29:55,1953,2071,32,1.6,,473.7,76334.9309009739,197249787.372118
130406,13117130406,1304.06,ARC 20,,,SDE,2015/06/01 14:29:55,1850,2154,85,4.6,,1310,44242.7025906151,76531671.0519878
130410,13117130410,1304.10,ARC 20,,,SDE,2015/06/01 14:29:55,1615,1757,113,7,,703.1,44965.9009774675,80056005.4659945
130203,13117130203,1302.03,ARC 20,,,SDE,2015/06/01 14:29:55,1478,1685,0,0,,91.5,91969.7740685529,339718776.969776
130204,13117130204,1302.04,ARC 20,,,SDE,2015/06/01 14:29:55,1187,1501,10,0.8,,470,66278.2010656485,186249928.919498
130202,13117130202,1302.02,ARC 20,,,SDE,2015/06/01 14:29:55,1264,1401,39,3.1,,402.2,63898.2212015362,167012078.113386
130509,13117130509,1305.09,ARC 20,,,SDE,2015/06/01 14:29:55,1034,1273,9,0.9,,-2.4,54191.6848853789,105646015.233029
130403,13117130403,1304.03,ARC 20,,,SDE,2015/06/01 14:29:55,1899,2053,115,6.1,,154.5,110537.886515246,316236944.470642
031506,13067031506,315.06,ARC 10,,,SDE,2015/06/01 14:29:55,1723,1846,68,3.9,,92.2,48752.3753554537,100337925.071495
031508,13067031508,315.08,ARC 10,,,SDE,2015/06/01 14:29:55,1662,1731,17,1,,257.7,54034.2380642849,132412987.128244
031116,13067031116,311.16,ARC 10,,,SDE,2015/06/01 14:29:55,1472,1797,118,8,,-264.5,23807.2361145519,29481141.3977
031115,13067031115,311.15,ARC 10,,,SDE,2015/06/01 14:29:55,1588,1847,123,7.7,,425,35410.1931714363,39538018.1379704
030223,13067030223,302.23,ARC 10,,,SDE,2015/06/01 14:29:55,2199,2460,67,3,,661.2,37674.4689836817,48657744.3653029
031312,13067031312,313.12,ARC 10,,,SDE,2015/06/01 14:29:55,3372,3695,195,5.8,,689.6,53847.9275432186,137810038.387735
031313,13067031313,313.13,ARC 10,,,SDE,2015/06/01 14:29:55,3698,3843,38,1,,975,59010.3320328172,168251461.432309
031309,13067031309,313.09,ARC 10,,,SDE,2015/06/01 14:29:55,2616,2913,120,4.6,,307.1,45631.7289489905,85828914.3419131
130101,13117130101,1301.01,ARC 20,,,SDE,2015/06/01 14:29:55,1261,1380,0,0,,148.6,84407.7991417087,281279156.195037
130104,13117130104,1301.04,ARC 20,,,SDE,2015/06/01 14:29:55,1414,1735,28,2,,147.6,90421.6231667939,318957777.26129
130506,13117130506,1305.06,ARC 20,,,SDE,2015/06/01 14:29:55,1131,1265,18,1.6,,309,76340.9158601574,114496455.48317
031509,13067031509,315.09,ARC 10,,,SDE,2015/06/01 14:29:55,3032,3572,86,2.8,,435.1,73336.7530055397,262632312.597705
031113,13067031113,311.13,ARC 10,,,SDE,2015/06/01 14:29:55,487,635,110,22.6,,-757.5,15328.7929380092,12050457.3529284
031114,13067031114,311.14,ARC 10,,,SDE,2015/06/01 14:29:55,3703,3884,198,5.3,,1146.4,25398.9460455544,30404190.2359547
030345,13067030345,303.45,ARC 10,,,SDE,2015/06/01 14:29:55,2302,2599,122,5.3,,491.8,31288.7059122369,46267772.6700168
030344,13067030344,303.44,ARC 10,,,SDE,2015/06/01 14:29:55,1763,2191,84,4.8,,-662.2,22539.1411433758,25146360.232426
030411,13067030411,304.11,ARC 10,,,SDE,2015/06/01 14:29:55,1531,2113,226,14.8,,-593.8,32120.0519438332,21530700.3528156
030412,13067030412,304.12,ARC 10,,,SDE,2015/06/01 14:29:56,1473,2031,91,6.2,,-1303.8,22416.1044360612,21588686.2542701
030414,13067030414,304.14,ARC 10,,,SDE,2015/06/01 14:29:56,1089,1502,104,9.6,,-659,22675.5114198547,26649597.7144664
030413,13067030413,304.13,ARC 10,,,SDE,2015/06/01 14:29:56,2261,2819,270,11.9,,-1313.3,16326.5105265938,15515860.4260629
030239,13067030239,302.39,ARC 10,,,SDE,2015/06/01 14:29:56,2519,2695,0,0,,228.4,61679.1208298761,210274687.091343
030238,13067030238,302.38,ARC 10,,,SDE,2015/06/01 14:29:56,2123,2179,0,0,,350.9,50030.2906944046,119070178.364877
030236,13067030236,302.36,ARC 10,,,SDE,2015/06/01 14:29:56,1380,1476,0,0,,370.5,35263.7661123808,57497990.3462216
030407,13067030407,304.07,ARC 10,,,SDE,2015/06/01 14:29:56,2007,2152,55,2.7,,-70.6,32579.1377725002,46529465.4969016
030408,13067030408,304.08,ARC 10,,,SDE,2015/06/01 14:29:56,1298,1560,56,4.3,,7.8,22592.698426212,25592627.1833773
030410,13067030410,304.10,ARC 10,,,SDE,2015/06/01 14:29:56,2257,2332,226,10,,-34.1,31912.6859731288,46317689.8446933
030409,13067030409,304.09,ARC 10,,,SDE,2015/06/01 14:29:56,1245,1293,24,1.9,,198.6,28677.1623329257,39510854.9619552
030343,13067030343,303.43,ARC 10,,,SDE,2015/06/01 14:29:56,1620,1620,0,0,,71.7,37082.7996146609,49683537.361894
030342,13067030342,303.42,ARC 10,,,SDE,2015/06/01 14:29:56,1661,1722,9,0.5,,62.1,36039.7543742388,51683811.419102
030340,13067030340,303.40,ARC 10,,,SDE,2015/06/01 14:29:56,1278,1278,10,0.8,,-179.4,27067.8343692281,46266043.3791279
030341,13067030341,303.41,ARC 10,,,SDE,2015/06/01 14:29:56,1543,1579,0,0,,30.6,37205.3723209069,50058678.2992049
031409,13067031409,314.09,ARC 10,,,SDE,2015/06/01 14:29:56,1903,2232,84,4.4,,14,51767.6582017755,152033033.626183
031408,13067031408,314.08,ARC 10,,,SDE,2015/06/01 14:29:56,2129,2295,145,6.8,,211.3,70457.46048608,149933192.720451
030107,13067030107,301.07,ARC 10,,,SDE,2015/06/01 14:29:56,1627,1704,31,1.9,,725.6,44088.4755314558,44040101.4914974
030106,13067030106,301.06,ARC 10,,,SDE,2015/06/01 14:29:56,2567,2999,92,3.6,,1167.9,27586.8870454651,39230255.4361575
030505,13067030505,305.05,ARC 10,,,SDE,2015/06/01 14:29:56,2818,3126,125,4.4,,395.5,33004.2113947541,56864207.8138271
030800,13067030800,308,ARC 10,,,SDE,2015/06/01 14:29:56,1468,1722,294,20,,-498,43600.0725249228,56467911.721031
030902,13067030902,309.02,ARC 10,,,SDE,2015/06/01 14:29:56,2305,2708,378,16.4,,-704.5,41582.2223424138,54844148.7642719
031311,13067031311,313.11,ARC 10,,,SDE,2015/06/01 14:29:56,3412,4174,338,9.9,,592.5,44963.2508171458,89245311.986298
031406,13067031406,314.06,ARC 10,,,SDE,2015/06/01 14:29:56,2859,3334,260,9.1,,892.1,37870.0090583242,67110018.044905
031405,13067031405,314.05,ARC 10,,,SDE,2015/06/01 14:29:56,2896,3125,58,2,,5.1,57439.210016212,109264121.03516
030320,13067030320,303.20,ARC 10,,,SDE,2015/06/01 14:29:56,3473,4033,90,2.6,,357.5,46196.5541505667,99097706.2014473
030318,13067030318,303.18,ARC 10,,,SDE,2015/06/01 14:29:56,2796,2843,91,3.3,,67.4,56581.1834215537,127344775.23979
031005,13067031005,310.05,ARC 10,,,SDE,2015/06/01 14:29:56,1639,1772,39,2.4,,445,35880.477257667,54614838.0967499
031002,13067031002,310.02,ARC 10,,,SDE,2015/06/01 14:29:56,3003,3393,524,17.4,,579.4,34904.7896655942,50888269.4436901
030904,13067030904,309.04,ARC 10,,,SDE,2015/06/01 14:29:56,2209,2603,296,13.4,,-38.5,26313.2198809847,36747327.7210269
