GEOID10,NAME10,PLNG_REGIO,created_us,created_da,last_edite,last_edit2,Percent_Fo,Foreign_Bo,Percent_U_,U_S__Nativ,GlobalID,Pop_Chg_pe,Pct_ForBor,ForeignBor,Pct_ForBo2,ForBorn_Na,Pct_US_Nat,US_Native_,Pct_USnati,USnative_B,Pct_USnat2,USnative_2,Shape_Leng,Shape_Area
13015960802,9608.02,ARC 20,,,SDE,2015/05/21 16:55:07,10.3,279,89.7,2439,,57.9,84.9,237,15.1,42,31.8,864,56.8,1544,88.6,2408,76749.9993650087,195134903.797111
13015961000,9610,ARC 20,,,SDE,2015/05/21 16:55:07,1.7,133,98.3,7836,,31.8,51.1,68,48.9,65,30.8,2454,67.1,5345,97.9,7799,255401.671298723,1935952269.35267
13015960801,9608.01,ARC 20,,,SDE,2015/05/21 16:55:07,3.6,127,96.4,3360,,43.9,37.8,48,62.2,79,37.9,1322,58.4,2038,96.4,3360,102843.55887499,260104972.53724
13015960300,9603,ARC 20,,,SDE,2015/05/21 16:55:07,5.2,378,94.8,6932,,41.6,46.8,177,53.2,201,28.1,2057,65,4755,93.2,6812,222249.672665554,1718063517.56481
13015960902,9609.02,ARC 20,,,SDE,2015/05/21 16:55:07,0.8,50,99.2,6378,,78,4,2,96,48,25.9,1667,72.6,4665,98.5,6332,88075.1147822841,394844082.510512
13015960500,9605,ARC 20,,,SDE,2015/05/21 16:55:07,7.7,612,92.3,7353,,231.2,94.3,577,5.7,35,23.3,1857,68.3,5443,91.7,7300,77536.1248677816,261491229.158867
13015960600,9606,ARC 20,,,SDE,2015/05/21 16:55:07,8.5,739,91.5,7954,,140.7,89.3,660,10.7,79,23.6,2051,67.6,5875,91.2,7926,76140.0210468507,269561640.261791
13015960200,9602,ARC 20,,,SDE,2015/05/21 16:55:07,4.3,517,95.7,11638,,44.7,49.5,256,50.5,261,22.1,2690,73.2,8895,95.3,11585,226460.082912987,1900223713.73453
13015960401,9604.01,ARC 20,,,SDE,2015/05/21 16:55:07,6.3,556,93.7,8313,,425.7,67.6,376,32.4,180,34.9,3098,58.3,5169,93.2,8267,84384.9901723506,191074437.245815
13015960803,9608.03,ARC 20,,,SDE,2015/05/21 16:55:07,4,228,96,5448,,22.8,64.5,147,35.5,81,28.6,1623,66.8,3794,95.4,5417,148944.630062679,888751808.518403
13015960700,9607,ARC 20,,,SDE,2015/05/21 16:55:07,6.2,379,93.8,5737,,53.3,78.4,297,21.6,82,27.6,1690,65.4,3999,93,5689,158811.962450753,785342099.280457
13135050319,503.19,ARC 10,,,SDE,2015/05/21 16:55:07,43.9,2335,56.1,2985,,-660,84.3,1969,15.7,366,27.6,1467,26.7,1421,54.3,2888,32589.1771633987,37367601.2584155
13135050219,502.19,ARC 10,,,SDE,2015/05/21 16:55:07,31.5,1137,68.5,2469,,-331.8,49.3,561,50.7,576,37.2,1341,29,1044,66.1,2385,25244.1899734645,30986380.1035923
13135050211,502.11,ARC 10,,,SDE,2015/05/21 16:55:07,46.6,2372,53.4,2715,,-947.7,66.9,1587,33.1,785,29.2,1483,20.9,1062,50,2545,24658.1824755527,37157519.6086121
13135050215,502.15,ARC 10,,,SDE,2015/05/21 16:55:07,45.6,1504,54.4,1797,,444.6,67.2,1011,32.8,493,28.1,929,23.3,770,51.5,1699,40366.4271208468,78638954.0581277
13135050216,502.16,ARC 10,,,SDE,2015/05/21 16:55:07,37.7,3172,62.3,5247,,637.8,51.4,1631,48.6,1541,26.6,2236,35.1,2957,61.7,5193,60257.1104183541,150126977.757473
13135050527,505.27,ARC 10,,,SDE,2015/05/21 16:55:07,13.7,898,86.3,5674,,76.5,35,314,65,584,47.9,3150,35.7,2343,83.6,5493,36904.9284100738,64603868.8885325
13135050549,505.49,ARC 10,,,SDE,2015/05/21 16:55:07,20.2,1010,79.8,3993,,235.3,71.5,722,28.5,288,46.7,2335,32.7,1634,79.3,3969,36053.1911261696,43167341.0073881
13135050540,505.40,ARC 10,,,SDE,2015/05/21 16:55:07,20.5,1442,79.5,5607,,544.1,49.2,710,50.8,732,42.2,2974,36.7,2584,78.8,5558,34324.6491541521,47214853.3892894
13135050722,507.22,ARC 10,,,SDE,2015/05/21 16:55:07,25.9,926,74.1,2650,,422.9,54.6,506,45.4,420,37.8,1352,33.4,1195,71.2,2547,34298.8219015979,39144951.9731624
13135050729,507.29,ARC 10,,,SDE,2015/05/21 16:55:07,20.7,694,79.3,2661,,222,47.8,332,52.2,362,42.4,1424,34.2,1146,76.6,2570,24483.7583686272,28993007.2155844
13135050725,507.25,ARC 10,,,SDE,2015/05/21 16:55:07,13.8,716,86.2,4486,,280,30,215,70,501,46.6,2423,38.4,1995,84.9,4418,29650.458075613,53237674.0660058
13135050730,507.30,ARC 10,,,SDE,2015/05/21 16:55:07,21,1513,79,5676,,613.3,38,575,62,938,39.9,2870,37.8,2714,77.7,5584,54202.9400848743,111798631.914393
13135050728,507.28,ARC 10,,,SDE,2015/05/21 16:55:07,14.5,2063,85.5,12197,,629.2,38.2,788,61.8,1275,42.5,6058,39.1,5580,81.6,11638,82877.2368260868,320360058.293466
13135050731,507.31,ARC 10,,,SDE,2015/05/21 16:55:07,15,1370,85,7741,,753.9,36.9,505,63.1,865,42.6,3884,41.2,3758,83.9,7642,60359.1931241153,171577416.509642
13135050609,506.09,ARC 10,,,SDE,2015/05/21 16:55:07,10.8,1329,89.2,10961,,591.4,46.3,615,53.7,714,44.2,5431,44.4,5456,88.6,10887,100848.025241196,321496348.57328
13135050610,506.10,ARC 10,,,SDE,2015/05/21 16:55:07,10.3,1732,89.7,15106,,593.4,21.4,370,78.6,1362,49.5,8330,37.5,6310,86.9,14640,82791.1199757022,355837712.936432
13135050541,505.41,ARC 10,,,SDE,2015/05/21 16:55:07,36.8,2265,63.2,3884,,442,79.8,1808,20.2,457,31.3,1927,28.1,1728,59.4,3655,17798.7886630528,13788331.2424275
13135050524,505.24,ARC 10,,,SDE,2015/05/21 16:55:07,35.1,1784,64.9,3297,,348.5,73.2,1305,26.8,479,31.4,1594,29.2,1484,60.6,3078,28673.523508473,37021804.1499578
13135050547,505.47,ARC 10,,,SDE,2015/05/21 16:55:07,17.1,1346,82.9,6525,,323.3,58.7,790,41.3,556,34.1,2687,47.5,3737,81.6,6424,49922.3254714844,112608211.048153
13135050523,505.23,ARC 10,,,SDE,2015/05/21 16:55:07,22,1584,78,5600,,691,61.6,976,38.4,608,47.5,3415,29.5,2119,77,5534,42252.4686982713,83138996.3064406
13135050724,507.24,ARC 10,,,SDE,2015/05/21 16:55:07,10.1,1516,89.9,13442,,962.5,35.6,539,64.4,977,46.7,6985,39,5841,85.7,12826,84459.8540736327,282182830.113775
13135050543,505.43,ARC 10,,,SDE,2015/05/21 16:55:07,29.9,1979,70.1,4631,,1206.5,47.1,933,52.9,1046,35.6,2355,32.6,2154,68.2,4509,39458.0700991747,72198149.0273743
13135050545,505.45,ARC 10,,,SDE,2015/05/21 16:55:07,32,3830,68,8123,,1447.5,57.8,2215,42.2,1615,34,4059,31.3,3740,65.2,7799,71159.1927395435,144985255.605466
13135050727,507.27,ARC 10,,,SDE,2015/05/21 16:55:07,16.4,1602,83.6,8175,,613.8,48.9,784,51.1,818,49.5,4844,33.1,3234,82.6,8078,63829.8408454816,181332933.808704
13135050548,505.48,ARC 10,,,SDE,2015/05/21 16:55:07,16.9,1892,83.1,9297,,626.2,54.2,1026,45.8,866,42,4703,39.9,4463,81.9,9166,77634.6476707015,216368781.221667
13135050546,505.46,ARC 10,,,SDE,2015/05/21 16:55:07,28.2,4341,71.8,11065,,1339.1,46.1,2001,53.9,2340,32.9,5067,37.7,5805,70.6,10872,79693.9992258901,223729917.98916
13135050726,507.26,ARC 10,,,SDE,2015/05/21 16:55:07,15.6,1398,84.4,7539,,379.3,55.2,772,44.8,626,37.4,3338,46.5,4154,83.8,7492,105194.272596124,342174881.333681
13135050608,506.08,ARC 10,,,SDE,2015/05/21 16:55:07,11.9,1876,88.1,13908,,228.3,66.4,1245,33.6,631,39.9,6299,47.3,7472,87.2,13771,147181.290928718,928258966.806498
13135050607,506.07,ARC 10,,,SDE,2015/05/21 16:55:07,14.9,2246,85.1,12823,,930.9,50.6,1136,49.4,1110,39,5883,43.3,6519,82.3,12402,77354.0425245026,300819182.09536
13135050542,505.42,ARC 10,,,SDE,2015/05/21 16:55:07,22.5,1128,77.5,3895,,1649.3,70,790,30,338,46,2312,28.1,1409,74.1,3721,32417.5718451711,39737208.8723407
13135050536,505.36,ARC 10,,,SDE,2015/05/21 16:55:07,27.1,1386,72.9,3734,,239.7,60.2,835,39.8,551,40.9,2095,29.6,1514,70.5,3609,43718.9394704979,82475892.6258606
13135050537,505.37,ARC 10,,,SDE,2015/05/21 16:55:07,30.2,1294,69.8,2996,,660,63.8,826,36.2,468,35.4,1519,33,1417,68.4,2936,26616.3749522093,38342505.3211158
13135050539,505.39,ARC 10,,,SDE,2015/05/21 16:55:07,37.3,1809,62.7,3046,,1246.7,64.3,1164,35.7,645,25.1,1219,33.7,1635,58.8,2854,21589.7456019748,25124081.6528831
13135050544,505.44,ARC 10,,,SDE,2015/05/21 16:55:07,29.3,3470,70.7,8361,,1249.2,41.7,1446,58.3,2024,41.9,4953,25.4,3000,67.2,7953,52833.9065297968,108043660.615069
13135050535,505.35,ARC 10,,,SDE,2015/05/21 16:55:07,33.4,2120,66.6,4226,,551.2,64.8,1373,35.2,747,34.3,2177,26.6,1690,60.9,3867,43700.3831058211,70140007.9125099
13135050532,505.32,ARC 10,,,SDE,2015/05/21 16:55:07,32.9,2562,67.1,5223,,1328.2,47.2,1210,52.8,1352,32.9,2559,32.1,2496,64.9,5055,36360.2115220737,62298302.2676234
13135050534,505.34,ARC 10,,,SDE,2015/05/21 16:55:07,35.3,2548,64.7,4668,,1034.4,56.7,1444,43.3,1104,26.4,1906,33.1,2386,59.5,4292,32954.9996238846,48910648.6951449
13135050723,507.23,ARC 10,,,SDE,2015/05/21 16:55:07,17.1,1160,82.9,5615,,284.7,37.5,435,62.5,725,45.5,3081,33.7,2282,79.2,5363,60959.005162401,101124270.410593
13135050435,504.35,ARC 10,,,SDE,2015/05/21 16:55:07,34.6,1381,65.4,2613,,68.8,71.3,984,28.7,397,30.1,1203,34.8,1389,64.9,2592,30742.6338686061,45774374.0025477
13135050531,505.31,ARC 10,,,SDE,2015/05/21 16:55:07,28.8,2238,71.2,5531,,560.7,68.6,1535,31.4,703,30.2,2349,35.8,2784,66.1,5133,42315.1600241434,80277550.0780366
13135050533,505.33,ARC 10,,,SDE,2015/05/21 16:55:07,39.9,3178,60.1,4778,,776.8,54.1,1718,45.9,1460,24.6,1959,31.9,2539,56.5,4498,38089.2089669459,70512616.7785312
13135050436,504.36,ARC 10,,,SDE,2015/05/21 16:55:07,39.5,3018,60.5,4630,,684.1,61.6,1858,38.4,1160,23.9,1826,32.8,2512,56.7,4338,42872.6391555825,60219824.1775249
13135050433,504.33,ARC 10,,,SDE,2015/05/21 16:55:07,34.7,814,65.3,1535,,450,63.5,517,36.5,297,21.8,511,42.4,995,64.1,1506,15422.323314296,13516925.0929416
13135050432,504.32,ARC 10,,,SDE,2015/05/21 16:55:07,39.6,2525,60.4,3845,,243.2,53.8,1359,46.2,1166,26.1,1660,32.6,2077,58.7,3737,35083.7828182892,61957821.7517459
13135050434,504.34,ARC 10,,,SDE,2015/05/21 16:55:07,59.3,4637,40.7,3181,,720,86.4,4006,13.6,631,16.4,1283,19.8,1549,36.2,2832,24989.2801529848,25286444.7732405
13135050321,503.21,ARC 10,,,SDE,2015/05/21 16:55:07,10.7,481,89.3,3996,,-12,34.7,167,65.3,314,48,2148,40,1791,88,3939,37439.388653955,56437466.7412571
13217100903,1009.03,ARC 20,,,SDE,2015/05/21 16:55:07,5.3,323,94.7,5742,,344,69,223,31,100,37.4,2268,56.3,3414,93.7,5682,97348.3599850762,185873569.497025
